algo,learning_rate,n_steps,ent_coef,seed,final_mean_reward,steps
ppo,0.0001,1024,0.0,0,2837.547198523731,102400
ppo,0.0001,1024,0.0,1,3534.181240296503,102400
ppo,0.0001,1024,0.0,2,3874.282280034034,102400
ppo,0.0001,1024,0.001,0,3154.8011972231034,102400
ppo,0.0001,1024,0.001,1,3159.5409692760522,102400
ppo,0.0001,1024,0.001,2,2507.6880347538577,102400
ppo,0.0001,1024,0.01,0,3896.9352671403008,102400
ppo,0.0001,1024,0.01,1,2754.6439647239517,102400
ppo,0.0001,1024,0.01,2,3054.1048238946332,102400
ppo,0.0001,2048,0.0,0,3885.6273438847247,102400
ppo,0.0001,2048,0.0,1,3384.6521827134757,102400
ppo,0.0001,2048,0.0,2,2543.4473167352903,102400
ppo,0.0001,2048,0.001,0,2849.357937130523,102400
ppo,0.0001,2048,0.001,1,3562.7643620361514,102400
ppo,0.0001,2048,0.001,2,3880.6795951560052,102400
ppo,0.0001,2048,0.01,0,3902.175978798583,102400
ppo,0.0001,2048,0.01,1,3757.147397067799,102400
ppo,0.0001,2048,0.01,2,3861.5129509877906,102400
ppo,0.0001,4096,0.0,0,3739.1035478022554,122880
ppo,0.0001,4096,0.0,1,3679.6661923935594,122880
ppo,0.0001,4096,0.0,2,3436.698041041568,122880
ppo,0.0001,4096,0.001,0,3633.39799187519,122880
ppo,0.0001,4096,0.001,1,3548.5818677590432,122880
ppo,0.0001,4096,0.001,2,3627.7690374993554,122880
ppo,0.0001,4096,0.01,0,3526.7107730587777,122880
ppo,0.0001,4096,0.01,1,3507.8002261186493,122880
ppo,0.0001,4096,0.01,2,3382.5701104770005,122880
ppo,0.0003,1024,0.0,0,3520.6599438508465,102400
ppo,0.0003,1024,0.0,1,2702.7303414166227,102400
ppo,0.0003,1024,0.0,2,2417.2694813250678,102400
ppo,0.0003,1024,0.001,0,2502.9814738094055,102400
ppo,0.0003,1024,0.001,1,2329.26006579252,102400
ppo,0.0003,1024,0.001,2,2100.3173591457935,102400
ppo,0.0003,1024,0.01,0,3206.667390350205,102400
ppo,0.0003,1024,0.01,1,3250.6172436048264,102400
ppo,0.0003,1024,0.01,2,2972.2286496765832,102400
ppo,0.0003,2048,0.0,0,3486.263832247384,102400
ppo,0.0003,2048,0.0,1,3431.6541936993804,102400
ppo,0.0003,2048,0.0,2,2776.198618420392,102400
ppo,0.0003,2048,0.001,0,3891.1331640419908,102400
ppo,0.0003,2048,0.001,1,3043.608544151053,102400
ppo,0.0003,2048,0.001,2,3880.5990036294243,102400
ppo,0.0003,2048,0.01,0,3873.2966181987736,102400
ppo,0.0003,2048,0.01,1,2631.991475653624,102400
ppo,0.0003,2048,0.01,2,2881.4739822558895,102400
ppo,0.0003,4096,0.0,0,3360.387357685243,122880
ppo,0.0003,4096,0.0,1,3564.081281713253,122880
ppo,0.0003,4096,0.0,2,3111.756256653939,122880
ppo,0.0003,4096,0.001,0,3612.153471453913,122880
ppo,0.0003,4096,0.001,1,2804.9682452735246,122880
ppo,0.0003,4096,0.001,2,2506.670944788254,122880
ppo,0.0003,4096,0.01,0,3718.7067232993745,122880
ppo,0.0003,4096,0.01,1,2599.49051770589,122880
ppo,0.0003,4096,0.01,2,2670.0886728110045,122880
ppo,0.001,1024,0.0,0,3000.1231565797107,102400
ppo,0.001,1024,0.0,1,3095.2902275490296,102400
ppo,0.001,1024,0.0,2,2214.156751772821,102400
ppo,0.001,1024,0.001,0,1694.429424462985,102400
ppo,0.001,1024,0.001,1,2695.149249799858,102400
ppo,0.001,1024,0.001,2,2223.628873557314,102400
ppo,0.001,1024,0.01,0,707.111704983719,102400
ppo,0.001,1024,0.01,1,2224.400145455732,102400
ppo,0.001,1024,0.01,2,2589.186560125826,102400
ppo,0.001,2048,0.0,0,2840.84119457386,102400
ppo,0.001,2048,0.0,1,3782.9638501405598,102400
ppo,0.001,2048,0.0,2,2895.569213268508,102400
ppo,0.001,2048,0.001,0,3091.435140356051,102400
ppo,0.001,2048,0.001,1,2929.068293685256,102400
ppo,0.001,2048,0.001,2,2207.075908379678,102400
ppo,0.001,2048,0.01,0,3615.5307699640994,102400
ppo,0.001,2048,0.01,1,2964.860297608582,102400
ppo,0.001,2048,0.01,2,1875.0094075423156,102400
ppo,0.001,4096,0.0,0,3581.56595918917,122880
ppo,0.001,4096,0.0,1,3847.836725194224,122880
ppo,0.001,4096,0.0,2,2863.6846997251196,122880
ppo,0.001,4096,0.001,0,3622.281782296287,122880
ppo,0.001,4096,0.001,1,3076.0084823505154,122880
ppo,0.001,4096,0.001,2,2851.8646134540413,122880
ppo,0.001,4096,0.01,0,3589.0756019057094,122880
ppo,0.001,4096,0.01,1,3167.606999563398,122880
ppo,0.001,4096,0.01,2,2501.7382163946068,122880
