algo,learning_rate,batch_size,seed,final_mean_reward,steps
sac,0.0001,128,0,3900.2137511503083,100000
sac,0.0001,128,1,3860.6846028049854,100000
sac,0.0001,128,2,3860.167817038061,100000
sac,0.0001,256,0,3891.656736206911,100000
sac,0.0001,256,1,3894.7346280460333,100000
sac,0.0001,256,2,3900.1052030404853,100000
sac,0.0001,512,0,3893.096367964446,100000
sac,0.0001,512,1,3897.779988688686,100000
sac,0.0001,512,2,3888.936730784517,100000
sac,0.0003,128,0,3843.782763838341,100000
sac,0.0003,128,1,3862.4077404905065,100000
sac,0.0003,128,2,3876.9939320651984,100000
sac,0.0003,256,0,3880.626898214471,100000
sac,0.0003,256,1,3899.270196516239,100000
sac,0.0003,256,2,3894.4645986075498,100000
sac,0.0003,512,0,3000.335728931259,100000
sac,0.0003,512,1,3863.2014642749446,100000
sac,0.0003,512,2,3895.915277736144,100000
sac,0.001,128,0,3466.352267527771,100000
sac,0.001,128,1,3814.815628496542,100000
sac,0.001,128,2,3860.214925413635,100000
sac,0.001,256,0,3424.3059374022014,100000
sac,0.001,256,1,3846.608685737473,100000
sac,0.001,256,2,3760.961325519441,100000
sac,0.001,512,0,3815.4142118752197,100000
sac,0.001,512,1,3870.0413922946864,100000
sac,0.001,512,2,3874.0503076688437,100000
