timestep,command,reward
0,stand,4.176131
1,stand,2.231039
2,stand,-0.370437
3,stand,2.536926
4,stand,3.156505
5,stand,3.512710
6,stand,4.457133
7,stand,3.295575
8,stand,4.321497
9,stand,3.869985
10,stand,3.023653
11,stand,3.638620
12,stand,3.741518
13,stand,3.813998
14,stand,3.819651
15,stand,3.819982
16,stand,3.820001
17,stand,3.819998
18,stand,3.819998
19,stand,3.819998
20,stand,3.819998
21,stand,3.819998
22,stand,3.819998
23,stand,3.819998
24,stand,3.819998
25,stand,3.819998
26,stand,3.819998
27,stand,3.819998
28,stand,3.819998
29,stand,3.819998
30,stand,3.819998
31,stand,3.819998
32,stand,3.819998
33,stand,3.819998
34,stand,3.819998
35,stand,3.819998
36,stand,3.819998
37,stand,3.819998
38,stand,3.819998
39,stand,3.819998
40,stand,3.819998
41,stand,3.819998
42,stand,3.819998
43,stand,3.819998
44,stand,3.819998
45,stand,3.819998
46,stand,3.819998
47,stand,3.819998
48,stand,3.819998
49,stand,3.819998
50,forward,0.538903
51,forward,0.498862
52,forward,0.180698
53,forward,-0.391603
54,forward,0.240917
55,forward,0.169770
56,forward,-0.146810
57,forward,3.016021
58,forward,1.861508
59,forward,1.541664
60,forward,1.387805
61,forward,2.178292
62,forward,1.459582
63,forward,-0.107469
64,forward,3.235604
65,forward,3.537941
66,forward,3.944528
67,forward,3.341947
68,forward,4.956436
69,forward,4.243802
70,left,0.365061
71,left,-2.153743
72,left,-1.489131
73,left,1.771335
74,left,4.058562
75,left,3.580643
76,left,2.426603
77,left,5.257629
78,left,3.155288
79,left,4.506073
80,left,5.293071
81,left,3.411667
82,left,5.431151
83,left,5.413608
84,left,5.436197
85,left,5.410387
86,left,5.272171
87,left,5.109833
88,left,5.199680
89,left,5.255072
90,left,5.435806
91,left,5.426756
92,left,5.363620
93,left,5.347469
94,left,5.377830
95,left,5.434794
96,left,5.442417
97,left,5.365179
98,left,5.376129
99,left,5.428243
100,stand,1.130114
101,stand,1.878261
102,stand,1.817784
103,stand,2.302081
104,stand,1.925079
105,stand,1.502142
106,stand,0.925157
107,stand,1.654898
108,stand,1.931958
109,stand,2.213225
110,stand,2.167346
111,stand,2.200195
112,stand,2.209214
113,stand,2.209825
114,stand,2.209851
115,stand,2.209859
116,stand,2.209861
117,stand,2.209862
118,stand,2.209862
119,stand,2.209862
120,stand,2.209862
121,stand,2.209862
122,stand,2.209862
123,stand,2.209862
124,stand,2.209862
125,stand,2.209862
126,stand,2.209862
127,stand,2.209862
128,stand,2.209862
129,stand,2.209862
130,forward,0.538903
131,forward,0.498862
132,forward,0.180698
133,forward,-0.391603
134,forward,0.240917
135,forward,0.169770
136,forward,-0.146810
137,forward,3.016021
138,forward,1.861508
139,forward,1.541664
140,forward,1.387805
141,forward,2.178292
142,forward,1.459582
143,forward,-0.107469
144,forward,3.235604
145,forward,3.537941
146,forward,3.944528
147,forward,3.341947
148,forward,4.956436
149,forward,4.243802
150,forward,4.398886
151,forward,3.716706
152,forward,3.806407
153,forward,4.005416
154,forward,4.509819
155,forward,3.735463
156,forward,3.915226
157,forward,4.923819
158,forward,3.779263
159,forward,2.092079
160,forward,3.902620
161,forward,4.551981
162,forward,2.923586
163,forward,4.130105
164,forward,5.124867
165,forward,4.984812
166,forward,3.986465
167,forward,4.587827
168,forward,3.476990
169,forward,4.342923
170,forward,4.783361
171,forward,3.584439
172,forward,5.328274
173,forward,4.579922
174,forward,4.709017
175,forward,3.760158
176,forward,3.944088
177,forward,4.767193
178,forward,3.453628
179,forward,4.161910
180,left,0.198542
181,left,-3.345400
182,left,1.290649
183,left,2.153006
184,left,2.470347
185,left,3.678675
186,left,4.494299
187,left,4.557336
188,left,4.150757
189,left,4.551963
190,left,4.230157
191,left,4.861329
192,left,4.853859
193,left,5.217261
194,left,5.251032
195,left,5.085682
196,left,5.315412
197,left,4.409536
198,left,5.426306
199,left,5.374201
200,left,4.800351
201,left,5.292846
202,left,5.267719
203,left,5.378392
204,left,5.417560
205,left,5.433644
206,left,5.317892
207,left,5.316523
208,left,5.450308
209,left,5.428528
210,right,-1.939150
211,right,-0.829792
212,right,-1.074170
213,right,-1.033693
214,right,0.636014
215,right,5.106301
216,right,4.930368
217,right,4.869087
218,right,5.336758
219,right,5.454961
220,right,5.450041
221,right,5.426305
222,right,5.354286
223,right,5.289296
