timestep,command,reward
0,stand,4.176131
1,stand,1.696660
2,stand,4.008598
3,stand,2.524260
4,stand,2.652973
5,stand,3.966641
6,stand,2.940624
7,stand,3.267582
8,stand,5.350845
9,stand,5.491415
10,stand,5.504920
11,stand,4.733615
12,stand,3.550245
13,stand,6.348551
14,stand,6.349079
15,stand,5.795391
16,stand,5.727808
17,stand,5.957727
18,stand,5.857975
19,stand,5.885001
20,stand,5.883492
21,stand,5.864939
22,stand,5.828213
23,stand,5.823001
24,stand,5.851625
25,stand,5.818503
26,stand,5.809338
27,stand,5.830813
28,stand,5.834983
29,stand,5.790442
30,stand,5.733468
31,stand,5.761408
32,stand,5.756929
33,stand,5.708339
34,stand,5.749113
35,stand,5.745556
36,stand,5.735128
37,stand,5.758476
38,stand,5.686251
39,stand,5.730264
40,stand,5.807702
41,stand,5.691377
42,stand,5.711995
43,stand,5.720477
44,stand,5.768192
45,stand,5.687654
46,stand,5.643391
47,stand,5.687319
48,stand,5.639885
49,stand,5.665149
50,forward,0.220367
51,forward,0.550974
52,forward,1.055915
53,forward,1.769013
54,forward,1.477783
55,forward,1.125323
56,forward,0.447552
57,forward,1.392055
58,forward,3.358937
59,forward,2.555418
60,forward,1.518951
61,forward,1.536484
62,forward,2.142488
63,forward,2.222749
64,forward,3.866610
65,forward,3.064167
66,forward,2.168499
67,forward,-0.671246
68,forward,0.653691
69,forward,1.971776
70,left,3.429716
71,left,1.391422
72,left,0.747962
73,left,3.250144
74,left,0.124008
75,left,5.243721
76,left,4.895015
77,left,5.223022
78,left,5.271264
79,left,5.309217
80,left,5.266218
81,left,5.332896
82,left,4.813245
83,left,5.091399
84,left,4.970393
85,left,4.727601
86,left,4.135109
87,left,3.831028
88,left,5.323078
89,left,4.980703
90,left,5.364483
91,left,5.405764
92,left,5.453825
93,left,5.225144
94,left,5.212183
95,left,4.562371
96,left,4.962344
97,left,5.201329
98,left,5.403022
99,left,5.387404
100,stand,2.587738
101,stand,1.685039
102,stand,1.545818
103,stand,2.064117
104,stand,3.009753
105,stand,2.149783
106,stand,4.221726
107,stand,4.000574
108,stand,3.413974
109,stand,3.864367
110,stand,3.858456
111,stand,3.909583
112,stand,3.945078
113,stand,3.905843
114,stand,3.915839
115,stand,3.911083
116,stand,3.915929
117,stand,3.929707
118,stand,3.935237
119,stand,3.936067
120,stand,3.905807
121,stand,3.924637
122,stand,3.901366
123,stand,3.894052
124,stand,3.822623
125,stand,3.756937
126,stand,3.827799
127,stand,3.786429
128,stand,3.871112
129,stand,3.855632
130,forward,0.135199
131,forward,0.409045
132,forward,1.031961
133,forward,1.340118
134,forward,0.237976
135,forward,-0.223155
136,forward,-0.605509
137,forward,1.607485
138,forward,3.469237
139,forward,1.844289
140,forward,2.283329
141,forward,2.344785
142,forward,3.286174
143,forward,4.531443
144,forward,3.777590
145,forward,3.201847
146,forward,3.163519
147,forward,3.195021
148,forward,3.914040
149,forward,3.276957
150,forward,3.748540
151,forward,4.302060
152,forward,2.835620
153,forward,1.241283
154,forward,2.138437
155,forward,2.230452
156,forward,0.789792
157,forward,3.267668
158,forward,3.319296
159,forward,3.967411
160,forward,3.592668
161,forward,3.687602
162,forward,3.601263
163,forward,4.039436
164,forward,3.683565
165,forward,3.176518
166,forward,4.046444
167,forward,3.205548
168,forward,2.554006
169,forward,2.830055
170,forward,4.495131
171,forward,3.432380
172,forward,2.119632
173,forward,0.133939
174,forward,1.488949
175,forward,3.012525
176,forward,2.617772
177,forward,2.906078
178,forward,4.519663
179,forward,4.429463
180,left,3.351574
181,left,-1.874191
182,left,-2.560378
183,left,2.925968
184,left,3.962584
185,left,4.511322
186,left,4.815506
187,left,4.459323
188,left,4.925847
189,left,4.277536
190,left,5.201535
191,left,5.061899
192,left,2.980043
193,left,5.058768
194,left,4.666151
195,left,5.160110
196,left,4.557383
197,left,5.247057
198,left,3.513501
199,left,4.348829
200,left,4.994402
201,left,5.349084
202,left,4.746376
203,left,5.287370
204,left,4.965059
205,left,5.125959
206,left,5.364464
207,left,5.297159
208,left,5.236002
209,left,5.313848
210,right,-1.242230
211,right,5.119023
212,right,2.882710
213,right,2.346190
214,right,-1.247201
215,right,1.025025
216,right,5.078992
217,right,4.805781
218,right,-1.168443
219,right,-1.284105
220,right,5.293482
221,right,4.642046
222,right,4.969359
223,right,5.426540
224,right,5.378994
225,right,5.104533
226,right,5.311894
227,right,5.220321
228,right,5.259552
229,right,5.146697
230,right,4.809992
231,right,5.233011
232,right,5.145058
233,right,5.037301
234,right,4.608457
235,right,5.051585
236,right,5.277251
237,right,5.381641
238,right,5.367735
239,right,5.182913
240,forward,-0.667809
241,forward,-5.149094
242,forward,-3.042226
243,forward,-0.198457
244,forward,0.735651
245,forward,-0.438011
246,forward,-0.026368
247,forward,-0.703944
248,forward,0.285126
249,forward,1.065337
250,forward,0.270264
251,forward,-3.166726
252,forward,-0.853610
253,forward,-0.343197
254,forward,0.644217
255,forward,2.301956
256,forward,3.057897
257,forward,2.909984
258,forward,3.773220
259,forward,2.537287
260,forward,2.146234
261,forward,3.276770
262,forward,1.935916
263,forward,1.714428
264,forward,1.130653
265,forward,2.993463
266,forward,2.709542
267,forward,2.260874
268,forward,2.790515
269,forward,2.926333
270,forward,3.065804
271,forward,4.770118
272,forward,4.387503
273,forward,3.644257
274,forward,4.234102
275,forward,3.237926
276,forward,3.349685
277,forward,3.756105
278,forward,2.690361
279,forward,3.926163
280,forward,4.982023
281,forward,4.630647
282,forward,3.895414
283,forward,4.357720
284,forward,3.343922
285,forward,3.476124
286,forward,3.354699
287,forward,2.541426
288,forward,4.935158
289,forward,4.426435
290,forward,3.781115
291,forward,4.332719
292,forward,4.834488
293,forward,3.635422
294,forward,3.115700
295,forward,3.647436
296,forward,3.517524
297,forward,3.323194
298,forward,4.486919
299,forward,4.887077
300,forward,3.585925
301,forward,2.843434
302,forward,2.078427
303,forward,3.009719
304,forward,3.701831
305,forward,2.982125
306,forward,3.698967
307,forward,4.827452
308,forward,4.557264
309,forward,3.993842
310,forward,3.019897
311,forward,3.695651
312,forward,2.765375
313,forward,2.323972
314,forward,2.289811
315,forward,3.002966
316,forward,4.212748
317,forward,3.504836
318,forward,2.871420
319,forward,3.390038
320,forward,2.826213
321,forward,2.794091
322,forward,2.444246
323,forward,4.379309
324,forward,4.174891
325,forward,2.782485
326,forward,3.191197
327,forward,2.419744
328,forward,3.379285
329,forward,2.123743
330,forward,3.558175
331,forward,4.737211
332,forward,4.302714
333,forward,3.723354
334,forward,3.458246
335,forward,4.029633
336,forward,3.086224
337,forward,4.082704
338,forward,3.100296
339,forward,4.470996
340,right,2.069687
341,right,1.259528
342,right,-1.020655
343,right,0.961412
344,right,-2.337925
345,right,5.378521
346,right,0.998704
347,right,-1.296108
348,right,4.847007
349,right,3.618819
350,right,5.126384
351,right,2.410607
352,right,5.015917
353,right,1.571784
354,right,2.395038
355,right,1.093069
356,right,4.945708
357,right,4.943123
358,right,5.312683
359,right,5.423363
360,right,5.390138
361,right,4.511799
362,right,5.145842
363,right,5.201310
364,right,5.212074
365,right,4.939071
366,right,4.981448
367,right,5.010645
368,right,5.416440
369,right,5.391860
370,forward,-1.226034
371,forward,-0.078560
372,forward,0.236640
373,forward,-0.664120
374,forward,0.690351
375,forward,-2.750427
376,forward,-1.312726
377,forward,-0.413658
378,forward,-0.129589
379,forward,-0.198365
380,forward,0.434698
381,forward,0.361444
382,forward,0.677511
383,forward,1.748638
384,forward,2.959431
385,forward,2.668388
386,forward,-0.708564
387,forward,0.722102
388,forward,0.319544
389,forward,0.735807
390,forward,2.019723
391,forward,4.342171
392,forward,3.732681
393,forward,3.355625
394,forward,2.008544
395,forward,2.226817
396,forward,2.456705
397,forward,1.936224
398,forward,2.501980
399,forward,4.598460
400,forward,4.331648
401,forward,3.854141
402,forward,3.131144
403,forward,3.864727
404,forward,4.615285
405,forward,2.600336
406,forward,3.138658
407,forward,2.080803
408,forward,3.171048
409,forward,4.609738
410,forward,4.598600
411,forward,4.271066
412,forward,3.744364
413,forward,3.821192
414,forward,4.462794
415,forward,2.036635
416,forward,3.796157
417,forward,3.493935
418,forward,3.496843
419,forward,4.667102
420,forward,3.985655
421,forward,3.752768
422,forward,3.495930
423,forward,1.962048
424,forward,2.674389
425,forward,2.229269
426,forward,3.304664
427,forward,4.792958
428,forward,4.102762
429,forward,3.031959
430,forward,3.877321
431,forward,3.522317
432,forward,3.991330
433,forward,3.041952
434,forward,5.174855
435,forward,4.613202
436,forward,4.995668
437,forward,4.146928
438,forward,3.411231
439,forward,3.780805
440,stand,0.613992
441,stand,0.662929
442,stand,1.828771
443,stand,1.472735
444,stand,0.974793
445,stand,3.201294
446,stand,3.038996
447,stand,2.916027
448,stand,3.322868
449,stand,3.138563
450,stand,3.525444
451,stand,3.367939
452,stand,3.313066
453,stand,3.560739
454,stand,3.502904
455,stand,3.522358
456,stand,3.502026
457,stand,3.520992
458,stand,3.536459
459,stand,3.485067
460,stand,3.508724
461,stand,3.500125
462,stand,3.499518
463,stand,3.493684
464,stand,3.481589
465,stand,3.504181
466,stand,3.473443
467,stand,3.409359
468,stand,3.395433
469,stand,3.264168
470,left,1.946146
471,left,-0.535870
472,left,4.807694
473,left,1.017759
474,left,3.997050
475,left,3.479982
476,left,5.136224
477,left,3.805622
478,left,5.380952
479,left,5.249925
480,left,-1.043903
481,left,3.224435
482,left,-0.200860
483,left,1.029582
484,left,-1.529217
485,left,0.275114
486,left,2.291036
487,left,3.326198
488,left,4.894998
489,left,5.190640
490,left,4.934636
491,left,5.103430
492,left,1.851832
493,left,4.208725
494,left,1.360127
495,left,1.944092
496,left,-0.558313
497,left,4.917673
498,left,3.950465
499,left,5.123303
500,forward,-0.395013
501,forward,-1.495716
502,forward,0.827505
503,forward,3.306534
504,forward,3.157898
505,forward,2.540368
506,forward,2.063516
507,forward,2.619524
508,forward,2.963390
509,forward,1.872284
510,forward,1.789549
511,forward,2.625980
512,forward,3.363952
513,forward,4.311243
514,forward,3.722585
515,forward,2.782751
516,forward,3.021827
517,forward,2.665635
518,forward,2.481593
519,forward,1.894436
520,forward,3.083123
521,forward,4.098387
522,forward,3.575811
523,forward,3.948837
524,forward,3.463778
525,forward,3.880352
526,forward,2.687176
527,forward,3.209382
528,forward,2.460884
529,forward,3.540013
530,forward,4.898959
531,forward,4.070217
532,forward,3.960380
533,forward,3.212931
534,forward,3.383931
535,forward,3.580827
536,forward,1.314936
537,forward,4.386340
538,forward,4.168636
539,forward,4.629686
540,forward,4.432280
541,forward,4.226049
542,forward,4.155400
543,forward,3.819929
544,forward,3.868277
545,forward,3.733208
546,forward,3.708956
547,forward,4.901087
548,forward,3.356783
549,forward,2.732759
550,right,-1.746980
551,right,-1.808585
552,right,-1.798038
553,right,-2.340097
554,right,-1.772429
555,right,0.249621
556,right,-2.803711
557,right,-2.993533
558,right,-2.114447
559,right,-2.477344
560,right,-2.379130
561,right,1.504251
562,right,-1.365545
563,right,1.456742
564,right,4.255079
565,right,3.574743
566,right,2.877673
567,right,-1.535974
568,right,0.454054
569,right,0.211248
570,right,5.025871
571,right,5.061771
572,right,5.209694
573,right,4.341346
574,right,4.918955
575,right,5.350869
576,right,5.317929
577,right,5.375495
578,right,5.354540
579,right,5.360321
580,forward,-2.049860
581,forward,0.317738
582,forward,0.541154
583,forward,-0.893971
584,forward,-0.524625
585,forward,2.039754
586,forward,1.576379
587,forward,-0.293401
588,forward,2.109644
589,forward,1.752222
590,forward,0.665983
591,forward,-0.285877
592,forward,-0.070945
593,forward,-0.336427
594,forward,-1.388969
595,forward,-0.896198
596,forward,0.044026
597,forward,0.991325
598,forward,3.274489
599,forward,4.297525
600,forward,3.068223
601,forward,1.853143
602,forward,2.523836
603,forward,2.172367
604,forward,2.045378
605,forward,2.547824
606,forward,4.174714
607,forward,4.367361
608,forward,4.314728
609,forward,3.641311
610,forward,2.564988
611,forward,3.884366
612,forward,2.771197
