timestep,command,reward
0,stand,4.597216
1,stand,-18.228301
2,stand,2.958002
3,stand,1.406541
4,stand,3.746122
5,stand,3.411875
6,stand,2.184939
7,stand,2.537625
8,stand,2.729402
9,stand,1.943498
10,stand,4.089782
11,stand,4.784871
12,stand,5.006376
13,stand,5.082746
14,stand,5.021895
15,stand,4.838826
16,stand,4.473993
17,stand,4.009306
18,stand,3.081521
19,stand,2.087426
20,stand,2.984334
21,stand,3.898089
22,stand,3.769909
23,stand,3.846933
24,stand,3.903980
25,stand,3.901667
26,stand,3.903068
27,stand,3.907946
28,stand,3.912529
29,stand,3.915236
30,stand,3.914783
31,stand,3.914623
32,stand,3.914646
33,stand,3.914650
34,stand,3.914649
35,stand,3.914670
36,stand,3.914667
37,stand,3.914686
38,stand,3.914692
39,stand,3.914711
40,stand,3.914732
41,stand,3.914758
42,stand,3.914787
43,stand,3.914821
44,stand,3.914860
45,stand,3.914944
46,stand,3.914954
47,stand,3.914922
48,stand,3.914936
49,stand,3.915056
50,forward,-1.106450
51,forward,-4.009485
52,forward,-0.515932
53,forward,0.519387
54,forward,2.436750
55,forward,2.515387
56,forward,1.703713
57,forward,2.143036
58,forward,2.511683
59,forward,1.182784
60,forward,1.562157
61,forward,0.418528
62,forward,0.498416
63,forward,2.794023
64,forward,4.208291
65,forward,4.529344
66,forward,4.438422
67,forward,3.797292
68,forward,2.943248
69,forward,4.352046
70,left,3.700102
71,left,-2.597216
72,left,-2.168155
73,left,5.077872
74,left,4.050207
75,left,2.983036
76,left,4.052812
77,left,4.249935
78,left,4.677569
79,left,5.272037
80,left,5.199680
81,left,4.384608
82,left,3.894226
83,left,5.242872
84,left,5.358540
85,left,5.409394
86,left,5.278365
87,left,5.404240
88,left,5.143412
89,left,5.310467
90,left,5.317029
91,left,5.168402
92,left,5.393231
93,left,5.271823
94,left,5.254534
95,left,5.297774
96,left,5.393478
97,left,5.441990
98,left,5.262451
99,left,5.437363
100,stand,0.966907
101,stand,0.563457
102,stand,-1.404306
103,stand,1.339299
104,stand,1.871773
105,stand,1.768691
106,stand,1.755102
107,stand,1.723870
108,stand,1.666418
109,stand,1.815751
110,stand,1.759075
111,stand,1.808682
112,stand,1.820844
113,stand,1.823765
114,stand,1.823792
115,stand,1.823782
116,stand,1.823781
117,stand,1.823781
118,stand,1.823781
119,stand,1.823781
120,stand,1.823781
121,stand,1.823781
122,stand,1.823781
123,stand,1.823781
124,stand,1.823781
125,stand,1.823781
126,stand,1.823781
127,stand,1.823781
128,stand,1.823781
129,stand,1.823781
130,forward,-1.519067
131,forward,-4.156357
132,forward,0.213115
133,forward,0.096277
134,forward,1.802057
135,forward,1.793560
136,forward,0.482034
137,forward,-1.825639
138,forward,2.621359
139,forward,3.914555
140,forward,4.781061
141,forward,4.686498
142,forward,4.283147
143,forward,4.005746
144,forward,2.763544
145,forward,3.679474
146,forward,4.124974
147,forward,4.094413
148,forward,3.455024
149,forward,3.999936
150,forward,4.444820
151,forward,3.824423
152,forward,3.525172
153,forward,3.626678
154,forward,4.780383
155,forward,4.540948
156,forward,4.295828
157,forward,4.951519
158,forward,4.808395
159,forward,3.915515
160,forward,2.527409
161,forward,2.543547
162,forward,4.053414
163,forward,5.034764
164,forward,4.588393
165,forward,4.483546
166,forward,4.666911
167,forward,4.423511
168,forward,4.507614
169,forward,3.844786
170,forward,3.264369
171,forward,3.224967
172,forward,4.802732
173,forward,5.036226
174,forward,4.838900
175,forward,4.884284
176,forward,4.793076
177,forward,3.587165
178,forward,3.578633
179,forward,4.203889
180,left,2.034609
181,left,2.191687
182,left,1.687869
183,left,-3.823042
184,left,-1.909888
185,left,4.621197
186,left,5.081239
187,left,-1.633354
188,left,5.114028
189,left,5.063777
190,left,4.785975
191,left,4.563227
192,left,4.359931
193,left,4.032866
194,left,2.719707
195,left,5.257243
196,left,5.277549
197,left,5.186723
198,left,5.158214
199,left,5.223843
200,left,5.190140
201,left,5.399894
202,left,5.315127
203,left,5.166337
204,left,5.287955
205,left,5.435737
206,left,5.371319
207,left,5.382818
208,left,5.366227
209,left,5.236043
210,right,-0.420145
211,right,3.177782
212,right,4.485983
213,right,-1.470827
214,right,4.575529
215,right,2.671270
216,right,5.167090
217,right,4.566294
218,right,4.749383
219,right,5.013737
220,right,4.543667
221,right,4.676760
222,right,5.308316
223,right,4.429527
224,right,5.282628
225,right,5.421693
226,right,5.449505
227,right,5.420367
228,right,5.167804
229,right,5.440341
230,right,5.443690
231,right,5.308519
232,right,5.325060
233,right,5.444056
234,right,5.358485
235,right,5.387806
236,right,5.364593
237,right,5.403709
238,right,5.347507
239,right,5.434198
240,forward,-1.174284
241,forward,-0.141772
242,forward,-1.331928
243,forward,0.639993
244,forward,0.925842
245,forward,2.525444
246,forward,1.445987
247,forward,0.448242
248,forward,0.292163
249,forward,1.322357
250,forward,2.795499
251,forward,4.152071
252,forward,4.152870
253,forward,4.001745
254,forward,2.733840
255,forward,3.933684
256,forward,3.807467
257,forward,3.468721
258,forward,2.770151
259,forward,2.253964
260,forward,1.578364
261,forward,3.602819
262,forward,4.395228
263,forward,4.930129
264,forward,4.533932
265,forward,4.023812
266,forward,3.682875
267,forward,4.666200
268,forward,3.264755
269,forward,3.210669
