timestep,command,reward
0,stand,4.597216
1,stand,-21.268975
2,stand,1.628289
3,stand,0.396205
4,stand,4.320930
5,stand,3.195223
6,stand,4.090499
7,stand,2.969577
8,stand,3.833918
9,stand,4.954243
10,stand,4.898066
11,stand,4.461483
12,stand,3.935782
13,stand,3.424348
14,stand,2.527448
15,stand,3.666089
16,stand,3.701741
17,stand,3.538730
18,stand,3.778228
19,stand,3.934638
20,stand,3.944878
21,stand,3.918156
22,stand,3.921478
23,stand,3.904372
24,stand,3.944535
25,stand,3.949629
26,stand,3.961699
27,stand,3.966843
28,stand,3.919063
29,stand,3.945702
30,stand,3.898769
31,stand,3.952120
32,stand,3.899103
33,stand,3.990964
34,stand,3.888066
35,stand,3.990632
36,stand,3.887794
37,stand,3.947013
38,stand,3.943757
39,stand,3.885944
40,stand,3.965524
41,stand,3.913027
42,stand,3.959460
43,stand,3.890181
44,stand,3.897330
45,stand,3.917515
46,stand,3.993265
47,stand,3.913677
48,stand,3.930233
49,stand,3.847309
50,forward,-1.332237
51,forward,-4.114454
52,forward,-0.443624
53,forward,-0.572149
54,forward,-0.529559
55,forward,0.149022
56,forward,0.138592
57,forward,0.408379
58,forward,0.507177
59,forward,0.580568
60,forward,1.105357
61,forward,1.060694
62,forward,0.940881
63,forward,0.400028
64,forward,-0.391478
65,forward,-2.081077
66,forward,-1.736494
67,forward,-1.565860
68,forward,-1.121405
69,forward,-0.706915
70,left,5.023539
71,left,4.617732
72,left,3.946888
73,left,4.742685
74,left,4.012373
75,left,4.974362
76,left,4.459991
77,left,5.382942
78,left,5.259295
79,left,5.352452
80,left,4.842587
81,left,4.848979
82,left,5.211361
83,left,4.650210
84,left,5.258135
85,left,3.562381
86,left,4.986580
87,left,5.427867
88,left,5.316440
89,left,0.563666
90,left,3.615120
91,left,5.282156
92,left,5.067988
93,left,4.843103
94,left,5.306705
95,left,5.331606
96,left,4.619293
97,left,5.369302
98,left,5.438936
99,left,5.320835
100,stand,-0.927964
101,stand,0.973596
102,stand,0.186611
103,stand,1.180425
104,stand,1.395019
105,stand,1.246803
106,stand,1.502452
107,stand,1.431947
108,stand,1.508095
109,stand,1.376473
110,stand,1.514560
111,stand,1.394819
112,stand,1.494066
113,stand,1.470862
114,stand,1.436522
115,stand,1.461272
116,stand,1.462904
117,stand,1.443385
118,stand,1.438901
119,stand,1.452434
120,stand,1.458579
121,stand,1.432620
122,stand,1.459967
123,stand,1.464925
124,stand,1.446357
125,stand,1.453000
126,stand,1.464187
127,stand,1.458464
128,stand,1.470243
129,stand,1.481809
130,forward,-1.341994
131,forward,-2.421618
132,forward,1.916907
133,forward,2.845746
134,forward,2.516096
135,forward,1.858381
136,forward,-0.185707
137,forward,0.153153
138,forward,2.636815
139,forward,4.133701
140,forward,4.196302
141,forward,4.499999
142,forward,3.934458
143,forward,2.668162
144,forward,3.898983
145,forward,4.048405
146,forward,4.111855
147,forward,4.055234
148,forward,3.139722
149,forward,4.667360
150,forward,4.786773
151,forward,4.286746
152,forward,3.498944
153,forward,4.109788
154,forward,3.648909
155,forward,2.844261
156,forward,3.680883
157,forward,3.932469
158,forward,3.007337
159,forward,3.919976
160,forward,4.854910
161,forward,4.936500
162,forward,4.546986
163,forward,5.127235
164,forward,4.326122
165,forward,3.620876
166,forward,3.709207
167,forward,4.743653
168,forward,5.130579
169,forward,4.491915
170,forward,4.872696
171,forward,4.945199
172,forward,4.745452
173,forward,3.925460
174,forward,3.759280
175,forward,3.627385
176,forward,4.905701
177,forward,4.723349
178,forward,4.960686
179,forward,4.740562
180,left,2.883279
181,left,3.209184
182,left,-3.817646
183,left,4.531353
184,left,4.434420
185,left,4.676436
186,left,4.554513
187,left,3.960409
188,left,3.695859
189,left,3.190049
190,left,3.143540
191,left,3.921091
192,left,3.490469
193,left,1.875404
194,left,4.906922
195,left,4.216337
196,left,5.063393
197,left,4.609134
198,left,5.040805
199,left,4.956144
200,left,4.457843
201,left,0.474562
202,left,0.271553
203,left,-0.733348
204,left,0.137105
205,left,4.925471
206,left,5.005148
207,left,4.939680
208,left,5.229795
209,left,2.960813
210,right,-1.224731
211,right,-0.241960
212,right,-1.241450
213,right,-1.256075
214,right,-1.509477
215,right,4.759152
216,right,3.677551
217,right,5.130615
218,right,5.381665
219,right,4.928316
220,right,5.281736
221,right,4.666056
222,right,4.442497
223,right,3.974375
224,right,5.100237
225,right,5.230777
226,right,5.208615
227,right,4.847663
228,right,4.669830
229,right,4.945218
230,right,5.062869
231,right,5.259058
232,right,4.962119
233,right,5.181447
234,right,5.201169
235,right,3.534015
236,right,5.250416
237,right,5.100242
238,right,4.962618
239,right,5.028444
240,forward,-2.513697
241,forward,-1.544771
242,forward,-1.373159
243,forward,1.492744
244,forward,-0.355773
245,forward,0.558655
246,forward,-0.398192
247,forward,0.474387
248,forward,1.799547
249,forward,1.773685
250,forward,2.213469
251,forward,3.594135
252,forward,3.343431
253,forward,3.818925
254,forward,2.598600
255,forward,3.253713
256,forward,3.942332
257,forward,3.721968
258,forward,2.910144
259,forward,4.040156
260,forward,3.857940
261,forward,3.972633
262,forward,4.592376
263,forward,3.941741
264,forward,3.301383
265,forward,4.540747
266,forward,4.712118
267,forward,4.669828
268,forward,4.611173
269,forward,4.007438
270,forward,3.204254
271,forward,3.628576
272,forward,4.723958
273,forward,3.926241
274,forward,4.527388
275,forward,4.705086
276,forward,4.108000
277,forward,3.434953
278,forward,3.774197
279,forward,4.902486
280,forward,5.201091
281,forward,4.292728
282,forward,4.727444
283,forward,4.805981
284,forward,4.367330
285,forward,3.604507
286,forward,4.427014
287,forward,5.083425
288,forward,4.950332
289,forward,4.398428
