timestep,command,reward
0,stand,4.387139
1,stand,-27.394854
2,stand,3.699571
3,stand,1.565444
4,stand,2.184232
5,stand,2.800710
6,stand,3.953674
7,stand,1.975472
8,stand,1.624385
9,stand,2.977174
10,stand,3.719100
11,stand,3.739482
12,stand,3.651742
13,stand,3.705662
14,stand,3.725835
15,stand,3.730727
16,stand,3.730203
17,stand,3.729692
18,stand,3.729664
19,stand,3.729705
20,stand,3.729739
21,stand,3.729768
22,stand,3.729787
23,stand,3.729801
24,stand,3.729811
25,stand,3.729818
26,stand,3.729823
27,stand,3.729827
28,stand,3.729830
29,stand,3.729831
30,stand,3.729833
31,stand,3.729834
32,stand,3.729834
33,stand,3.729835
34,stand,3.729835
35,stand,3.729836
36,stand,3.729836
37,stand,3.729836
38,stand,3.729836
39,stand,3.729836
40,stand,3.729836
41,stand,3.729836
42,stand,3.729836
43,stand,3.729836
44,stand,3.729836
45,stand,3.729836
46,stand,3.729836
47,stand,3.729836
48,stand,3.729836
49,stand,3.729836
50,forward,0.293157
51,forward,3.005263
52,forward,1.254604
53,forward,1.510503
54,forward,4.113895
55,forward,4.538766
56,forward,3.033624
57,forward,3.929332
58,forward,3.238346
59,forward,4.435604
60,forward,4.418836
61,forward,2.228693
62,forward,2.834865
63,forward,3.677372
64,forward,2.954218
65,forward,4.898013
66,forward,3.099068
67,forward,3.032883
68,forward,3.773357
69,forward,4.502163
70,left,3.820229
71,left,4.250828
72,left,5.083677
73,left,5.109718
74,left,4.938696
75,left,4.894640
76,left,3.605886
77,left,4.746190
78,left,4.018620
79,left,5.058464
80,left,4.879303
81,left,4.862824
82,left,4.454796
83,left,4.819057
84,left,4.626973
85,left,4.886211
86,left,5.010195
87,left,4.977317
88,left,4.975195
89,left,4.566992
90,left,5.116998
91,left,5.031968
92,left,4.865629
93,left,4.874357
94,left,4.879283
95,left,4.724848
96,left,4.942156
97,left,4.978581
98,left,4.941913
99,left,4.839217
100,stand,-0.204794
101,stand,0.599785
102,stand,0.034877
103,stand,0.953537
104,stand,1.370903
105,stand,1.422640
106,stand,1.444190
107,stand,1.454400
108,stand,1.455947
109,stand,1.454873
110,stand,1.454507
111,stand,1.454402
112,stand,1.454347
113,stand,1.454320
114,stand,1.454302
115,stand,1.454289
116,stand,1.454279
117,stand,1.454272
118,stand,1.454267
119,stand,1.454264
120,stand,1.454261
121,stand,1.454259
122,stand,1.454258
123,stand,1.454257
124,stand,1.454257
125,stand,1.454256
126,stand,1.454256
127,stand,1.454256
128,stand,1.454255
129,stand,1.454255
130,forward,0.293166
131,forward,3.005277
132,forward,1.254614
133,forward,1.510514
134,forward,4.113896
135,forward,4.538765
136,forward,3.033607
137,forward,3.929324
138,forward,3.238341
139,forward,4.435597
140,forward,4.418794
141,forward,2.228637
142,forward,2.834822
143,forward,3.677318
144,forward,2.954193
145,forward,4.897999
146,forward,3.099066
147,forward,3.032882
148,forward,3.773273
149,forward,4.502830
150,forward,4.312509
151,forward,2.063191
152,forward,4.112371
153,forward,2.768929
154,forward,4.445706
155,forward,3.100879
156,forward,0.959239
157,forward,2.940145
158,forward,3.471035
159,forward,4.355128
160,forward,1.843575
161,forward,3.056771
