timestep,command,reward
0,stand,2.489322
1,stand,-10.325819
2,stand,1.753905
3,stand,2.727773
4,stand,2.569257
5,stand,3.828480
6,stand,2.526988
7,stand,2.302551
8,stand,2.469799
9,stand,5.008827
10,stand,4.922037
11,stand,6.314086
12,stand,5.097499
13,stand,3.683848
14,stand,4.595705
15,stand,4.044989
16,stand,3.762424
17,stand,1.479369
18,stand,4.872412
19,stand,5.902020
20,stand,6.024383
21,stand,5.578653
22,stand,4.712683
23,stand,6.035232
24,stand,5.705452
25,stand,5.692132
26,stand,5.659071
27,stand,5.648546
28,stand,5.683455
29,stand,5.688664
30,stand,5.681253
31,stand,5.686445
32,stand,5.686234
33,stand,5.672143
34,stand,5.579947
35,stand,5.711322
36,stand,5.626240
37,stand,5.617013
38,stand,5.739753
39,stand,5.489046
40,stand,5.801632
41,stand,5.681067
42,stand,5.662180
43,stand,5.670043
44,stand,5.681654
45,stand,5.712734
46,stand,5.623873
47,stand,5.713421
48,stand,5.653697
49,stand,5.666223
50,forward,-0.176016
51,forward,0.295494
52,forward,0.822197
53,forward,-0.665107
54,forward,1.510426
55,forward,2.841478
56,forward,4.066408
57,forward,2.410285
58,forward,3.820485
59,forward,3.648852
60,forward,3.200760
61,forward,1.979017
62,forward,2.840890
63,forward,-0.159391
64,forward,-0.298056
65,forward,1.004249
66,forward,1.008102
67,forward,0.406169
68,forward,1.423447
69,forward,2.533209
70,left,4.920580
71,left,4.799886
72,left,-0.005469
73,left,2.657012
74,left,4.079481
75,left,3.178285
76,left,1.967468
77,left,-1.985950
78,left,2.974775
79,left,3.098490
80,left,5.197661
81,left,4.893504
82,left,4.823044
83,left,4.780745
84,left,3.142964
85,left,4.994627
86,left,4.796657
87,left,4.868436
88,left,4.411536
89,left,4.818076
90,left,4.361478
91,left,5.098067
92,left,4.906874
93,left,5.268219
94,left,3.756849
95,left,5.385710
96,left,5.307594
97,left,5.169544
98,left,2.495682
99,left,1.272399
100,stand,1.707347
101,stand,3.152930
102,stand,3.798345
103,stand,4.246439
104,stand,4.101166
105,stand,4.227256
106,stand,4.218513
107,stand,4.227719
108,stand,4.283275
109,stand,4.238004
110,stand,4.204994
111,stand,4.284893
112,stand,4.216404
113,stand,4.244374
114,stand,4.241754
115,stand,4.259427
116,stand,4.249442
117,stand,4.271687
118,stand,4.243811
119,stand,4.284253
120,stand,4.318224
121,stand,4.233426
122,stand,4.263941
123,stand,4.251454
124,stand,4.262376
125,stand,4.284174
126,stand,4.237812
127,stand,4.261511
128,stand,4.295317
129,stand,4.274380
130,forward,0.055467
131,forward,-0.372592
132,forward,0.463382
133,forward,-1.198189
134,forward,0.126751
135,forward,1.202059
136,forward,1.199602
137,forward,1.900911
138,forward,2.543479
139,forward,3.998205
140,forward,2.493151
141,forward,2.516651
142,forward,2.291897
143,forward,3.148689
144,forward,3.975491
145,forward,3.536401
146,forward,1.876193
147,forward,2.797963
148,forward,2.694826
149,forward,1.644502
150,forward,1.551236
151,forward,1.720322
152,forward,2.193025
153,forward,3.431408
154,forward,4.322533
155,forward,1.985356
156,forward,3.480225
157,forward,4.017141
158,forward,4.446295
159,forward,2.366548
160,forward,2.620347
161,forward,2.079190
162,forward,1.462908
163,forward,1.176902
164,forward,1.078159
165,forward,1.997116
166,forward,2.918540
167,forward,4.282921
168,forward,2.371463
169,forward,3.454357
170,forward,3.241122
171,forward,2.292240
172,forward,3.285784
173,forward,4.886548
174,forward,3.239465
175,forward,3.868530
176,forward,4.021572
177,forward,3.852932
178,forward,4.694495
179,forward,1.340261
180,left,4.705100
181,left,5.111128
182,left,5.193264
183,left,4.785662
184,left,4.262841
185,left,2.730459
186,left,-1.561133
187,left,4.985457
188,left,4.657899
189,left,4.570495
190,left,3.068280
191,left,4.703572
192,left,4.938463
193,left,3.911616
194,left,-0.262400
195,left,0.499715
196,left,2.847680
197,left,1.267836
198,left,2.125478
199,left,2.727997
200,left,2.819729
201,left,4.137059
202,left,5.040984
203,left,4.811311
204,left,4.764395
205,left,3.103490
206,left,4.987004
207,left,4.902252
208,left,4.824448
209,left,4.331184
210,right,2.660833
211,right,4.962068
212,right,5.105636
213,right,5.193141
214,right,5.335204
215,right,2.933735
216,right,3.546931
217,right,-0.436564
218,right,2.793592
219,right,3.309807
220,right,5.405445
221,right,5.313520
222,right,2.048095
223,right,3.903168
224,right,4.137615
225,right,4.211143
226,right,5.360993
227,right,4.383941
228,right,3.742946
229,right,5.298670
230,right,4.687130
231,right,3.508782
232,right,5.288923
233,right,2.674869
234,right,-0.786424
235,right,4.875776
236,right,5.428607
237,right,5.116729
238,right,5.072351
239,right,3.917113
240,forward,1.089318
241,forward,0.787250
242,forward,1.762156
243,forward,1.012603
244,forward,2.551651
245,forward,4.369466
246,forward,2.587946
247,forward,3.013541
248,forward,3.727236
249,forward,4.662765
250,forward,3.992106
251,forward,3.589211
252,forward,3.409215
253,forward,3.005797
254,forward,2.295981
255,forward,1.690570
256,forward,1.850391
257,forward,0.609657
258,forward,0.415679
259,forward,0.793291
260,forward,0.998147
261,forward,1.960191
262,forward,3.902628
263,forward,2.587917
264,forward,3.144789
265,forward,2.910063
266,forward,2.244568
267,forward,1.305046
268,forward,2.512424
269,forward,3.671168
270,forward,0.922214
271,forward,1.980299
272,forward,2.797862
273,forward,2.300449
274,forward,2.475617
275,forward,0.064199
276,forward,0.634923
277,forward,2.317264
278,forward,2.139934
279,forward,3.580004
280,forward,4.240025
281,forward,1.978490
282,forward,2.901428
283,forward,2.673888
284,forward,4.362794
285,forward,3.217759
286,forward,3.318666
287,forward,3.506547
288,forward,2.823217
289,forward,2.022906
290,forward,1.813494
291,forward,1.698910
292,forward,1.408852
293,forward,0.721791
