episode,timestep,episode_reward,episode_length
1,4800000,2094.9655,1000
2,4800000,-1372.5405,1000
3,4800000,1074.1355,1000
4,4800000,1123.8058,1000
5,4800000,2009.0648,1000
6,4800000,1787.5635,1000
7,4800000,1578.3971,1000
8,4800000,2311.6572,1000
9,4800000,1079.2649,1000
10,4800000,753.4179,1000
11,4810000,1355.1708,1000
12,4810000,2047.6383,1000
13,4810000,1239.9642,1000
14,4810000,2311.6809,1000
15,4810000,2123.8782,1000
16,4810000,1110.6739,1000
17,4810000,1582.7444,1000
18,4810000,2197.1399,1000
19,4810000,2804.0287,1000
20,4810000,1465.6019,1000
21,4820000,1769.0291,1000
22,4820000,1794.8552,1000
23,4820000,1102.2422,1000
24,4820000,1478.1803,1000
25,4820000,-808.4154,1000
26,4820000,1556.5461,1000
27,4820000,2290.8847,1000
28,4820000,1486.9612,1000
29,4820000,1511.4738,1000
30,4820000,2393.5981,1000
31,4830000,2072.6058,1000
32,4830000,1642.4050,1000
33,4830000,2141.0430,1000
34,4830000,1808.9519,1000
35,4830000,1569.8671,1000
36,4830000,3257.8269,1000
37,4830000,1554.6568,1000
38,4830000,2466.1345,1000
39,4830000,1154.9472,1000
40,4830000,2025.3652,1000
41,4840000,2010.9528,1000
42,4840000,1681.7374,1000
43,4840000,1240.2527,1000
44,4840000,2028.8784,1000
45,4840000,1365.4179,1000
46,4840000,2830.7858,1000
47,4840000,2102.2366,1000
48,4840000,2464.2714,1000
49,4840000,757.7171,1000
50,4840000,1314.0937,1000
51,4850000,982.1235,1000
52,4850000,1685.9645,1000
53,4850000,753.0619,1000
54,4850000,2123.2542,1000
55,4850000,2031.7286,1000
56,4850000,2389.5857,1000
57,4850000,1281.3817,1000
58,4850000,2014.9349,1000
59,4850000,1567.6103,1000
60,4850000,1053.7776,1000
61,4860000,1430.3670,1000
62,4860000,1601.7933,1000
63,4860000,1593.8339,1000
64,4860000,1446.7171,1000
65,4860000,2043.7090,1000
66,4860000,1998.7893,1000
67,4860000,3250.9755,1000
68,4860000,1290.6577,1000
69,4860000,1229.1002,1000
70,4860000,1745.4541,1000
71,4860090,3.3335,9
72,4870000,757.8640,1000
73,4870000,1175.9338,1000
74,4870000,1102.6994,1000
75,4870000,2487.2037,1000
76,4870000,1488.5422,1000
77,4870000,1946.4217,1000
78,4870000,1376.7374,1000
79,4870000,1617.2804,1000
80,4870000,1004.8555,1000
81,4870090,2181.5580,1000
82,4880000,2528.2036,1000
83,4880000,1626.5932,1000
84,4880000,1989.6445,1000
85,4880000,1996.0801,1000
86,4880000,1978.0490,1000
87,4880000,2272.1642,1000
88,4880000,1697.8038,1000
89,4880000,1706.4496,1000
90,4880000,2890.4288,1000
91,4880090,1858.6705,1000
