episode,timestep,episode_reward,episode_length
1,19800000,550.6434,1000
2,19800000,-430.2635,1000
3,19800000,-294.1248,1000
4,19800000,306.9166,1000
5,19800000,-311.9799,1000
6,19800000,-660.9362,1000
7,19800000,282.5074,1000
8,19800000,-734.6097,1000
9,19800000,79.7631,1000
10,19800000,234.1088,1000
11,19810000,344.2242,1000
12,19810000,874.0221,1000
13,19810000,-732.6531,1000
14,19810000,-250.9215,1000
15,19810000,1750.2350,1000
16,19810000,-964.7147,1000
17,19810000,-479.1770,1000
18,19810000,-396.5373,1000
19,19810000,-165.3145,1000
20,19810000,-763.7490,1000
21,19820000,-525.6202,1000
22,19820000,691.7479,1000
23,19820000,-872.9602,1000
24,19820000,283.8521,1000
25,19820000,-11.0845,1000
26,19820000,-1067.7134,1000
27,19820000,-559.0759,1000
28,19820000,-1065.1561,1000
29,19820000,-170.6251,1000
30,19820000,-162.2793,1000
31,19830000,-351.3772,1000
32,19830000,-258.8367,1000
33,19830000,150.3819,1000
34,19830000,-362.6999,1000
35,19830000,-1099.5862,1000
36,19830000,-184.0451,1000
37,19830000,-623.0408,1000
38,19830000,417.1201,1000
39,19830000,33.3288,1000
40,19830000,290.8350,1000
41,19840000,88.0554,1000
42,19840000,-173.6485,1000
43,19840000,-1085.8291,1000
44,19840000,-650.8792,1000
45,19840000,-517.2095,1000
46,19840000,-727.9096,1000
47,19840000,-226.3993,1000
48,19840000,-930.3715,1000
49,19840000,-684.7405,1000
50,19840000,-852.7046,1000
51,19850000,-810.4462,1000
52,19850000,145.2785,1000
53,19850000,-740.3914,1000
54,19850000,93.1869,1000
55,19850000,-650.8220,1000
56,19850000,-577.9579,1000
57,19850000,101.6498,1000
58,19850000,496.0912,1000
59,19850000,-196.3910,1000
60,19850000,827.3210,1000
61,19860000,131.1692,1000
62,19860000,-682.0621,1000
63,19860000,316.5240,1000
64,19860000,287.5756,1000
65,19860000,-762.3612,1000
66,19860000,-369.8559,1000
67,19860000,43.2873,1000
