episode,timestep,episode_reward,episode_length
1,4805710,1990.9355,1000
2,4805710,2272.5614,1000
3,4805710,1705.7849,1000
4,4805710,2198.8937,1000
5,4805710,1155.1967,1000
6,4805710,771.7664,1000
7,4805710,781.3171,1000
8,4805710,2555.5274,1000
9,4805710,1258.4677,1000
10,4805710,1017.4737,1000
11,4815710,2134.8132,1000
12,4815710,1402.7964,1000
13,4815710,1350.7909,1000
14,4815710,1812.2439,1000
15,4815710,2016.9490,1000
16,4815710,1343.6457,1000
17,4815710,2324.2933,1000
18,4815710,2016.1784,1000
19,4815710,1656.9046,1000
20,4815710,792.4062,1000
21,4825710,2327.4093,1000
22,4825710,2196.9466,1000
23,4825710,2097.9851,1000
24,4825710,1625.6469,1000
25,4825710,1304.1459,1000
26,4825710,1930.1754,1000
27,4825710,1539.0453,1000
28,4825710,794.2112,1000
29,4825710,1235.4972,1000
30,4825710,1522.7922,1000
31,4835710,862.6519,1000
32,4835710,1876.2277,1000
33,4835710,1681.9090,1000
34,4835710,1466.6247,1000
35,4835710,1366.6329,1000
36,4835710,2398.2967,1000
37,4835710,1662.0759,1000
38,4835710,1671.8516,1000
39,4835710,1340.9689,1000
40,4835710,1139.9677,1000
41,4845710,2764.7794,1000
42,4845710,1694.2045,1000
43,4845710,1366.6840,1000
44,4845710,1325.0159,1000
45,4845710,999.6940,1000
46,4845710,1284.5070,1000
47,4845710,1260.6306,1000
48,4845710,1332.5079,1000
49,4845710,1320.3829,1000
50,4845710,1297.9009,1000
51,4855710,1698.7089,1000
52,4855710,1547.6459,1000
53,4855710,1744.2788,1000
54,4855710,1510.8165,1000
55,4855710,807.8615,1000
56,4855710,1414.3502,1000
57,4855710,1316.2623,1000
58,4855710,1065.4244,1000
59,4855710,1793.4896,1000
60,4855710,918.2683,1000
61,4865710,2615.6076,1000
62,4865710,1878.0272,1000
63,4865710,1389.8960,1000
64,4865710,1581.6000,1000
65,4865710,1650.7422,1000
66,4865710,1423.2397,1000
67,4865710,1344.8350,1000
68,4865710,1294.7196,1000
69,4865710,2167.3527,1000
70,4865710,1223.2261,1000
71,4875710,1173.9627,1000
72,4875710,1776.0565,1000
73,4875710,1206.1784,1000
74,4875710,1278.8009,1000
75,4875710,1478.1310,1000
76,4875710,2498.1412,1000
77,4875710,2412.3702,1000
78,4875710,1575.4674,1000
79,4875710,777.1346,1000
80,4875710,1588.5287,1000
81,4885710,1681.1829,1000
82,4885710,2112.2941,1000
83,4885710,2219.4071,1000
84,4885710,1789.5853,1000
85,4885710,2509.7255,1000
86,4885710,1426.9954,1000
87,4885710,2008.3358,1000
88,4885710,1150.1347,1000
89,4885710,1538.2030,1000
90,4885710,2527.6168,1000
91,4895710,1894.1389,1000
92,4895710,1458.4161,1000
93,4895710,1530.2259,1000
94,4895710,1536.7078,1000
95,4895710,-277.8700,1000
96,4895710,3085.3237,1000
97,4895710,1896.6819,1000
98,4895710,1349.4852,1000
99,4895710,1928.1126,1000
100,4895710,1349.1461,1000
101,4905710,1781.3223,1000
102,4905710,1241.9411,1000
103,4905710,1227.2355,1000
104,4905710,2332.4043,1000
105,4905710,1479.4043,1000
106,4905710,1386.8641,1000
107,4905710,1717.8914,1000
108,4905710,1873.3091,1000
109,4905710,1244.8537,1000
110,4905710,2556.0476,1000
111,4915710,1934.0380,1000
112,4915710,1592.0552,1000
113,4915710,1733.4802,1000
114,4915710,1697.6748,1000
115,4915710,2073.7448,1000
116,4915710,1963.4596,1000
117,4915710,854.6370,1000
118,4915710,1181.1674,1000
119,4915710,815.0400,1000
120,4915710,1356.2316,1000
121,4925710,2171.0364,1000
122,4925710,1032.5435,1000
123,4925710,1550.7845,1000
124,4925710,1971.6908,1000
125,4925710,1598.2956,1000
126,4925710,1335.4324,1000
127,4925710,1253.5064,1000
128,4925710,1294.1997,1000
129,4925710,1227.9376,1000
130,4925710,3262.5888,1000
131,4935710,2066.5991,1000
132,4935710,1868.8006,1000
133,4935710,987.3221,1000
134,4935710,1327.9493,1000
135,4935710,1427.7848,1000
136,4935710,1785.5431,1000
137,4935710,1226.4048,1000
138,4935710,857.7501,1000
139,4935710,1882.8399,1000
140,4935710,2356.6655,1000
141,4945710,1153.7042,1000
142,4945710,2014.3437,1000
143,4945710,1639.4959,1000
144,4945710,835.0995,1000
145,4945710,1125.5268,1000
146,4945710,2004.7007,1000
147,4945710,1702.6361,1000
148,4945710,2124.7797,1000
149,4945710,1229.3993,1000
150,4945710,1272.7906,1000
