episode,timestep,episode_reward,episode_length
1,19805710,54.0346,1000
2,19805710,90.6904,1000
3,19805710,893.6482,1000
4,19805710,218.7476,1000
5,19805710,262.2219,1000
6,19805710,1117.4490,1000
7,19805710,694.9950,1000
8,19805710,1625.6071,1000
9,19805710,269.5878,1000
10,19805710,-238.0288,1000
11,19815710,1563.1453,1000
12,19815710,1546.7511,1000
13,19815710,277.2003,1000
14,19815710,493.3074,1000
15,19815710,641.1805,1000
16,19815710,1126.1402,1000
17,19815710,1768.0409,1000
18,19815710,1389.0194,1000
19,19815710,1216.6239,1000
20,19815710,1079.3705,1000
21,19825710,1349.1145,1000
22,19825710,1600.9263,1000
23,19825710,1309.6629,1000
24,19825710,1547.4008,1000
25,19825710,1529.7323,1000
26,19825710,1990.4559,1000
27,19825710,1427.0346,1000
28,19825710,1305.0129,1000
29,19825710,1815.9764,1000
30,19825710,2007.3909,1000
31,19835710,1998.2519,1000
32,19835710,2086.6822,1000
33,19835710,1873.5131,1000
34,19835710,1887.1769,1000
35,19835710,1477.0574,1000
36,19835710,2319.1094,1000
37,19835710,1582.1913,1000
38,19835710,1931.8989,1000
39,19835710,1588.8334,1000
40,19835710,2376.3446,1000
41,19845710,2452.6252,1000
42,19845710,2049.7473,1000
43,19845710,2210.5347,1000
44,19845710,2497.1241,1000
45,19845710,2496.6364,1000
46,19845710,2526.7376,1000
47,19845710,2531.4201,1000
48,19845710,2325.4223,1000
49,19845710,2484.6075,1000
50,19845710,2611.2722,1000
51,19855710,2625.5743,1000
52,19855710,2429.3865,1000
53,19855710,2560.3084,1000
54,19855710,3217.0217,1000
55,19855710,2412.2382,1000
56,19855710,2435.9727,1000
57,19855710,2595.4858,1000
58,19855710,2665.7272,1000
59,19855710,2200.2280,1000
60,19855710,2405.7591,1000
61,19865710,2616.5949,1000
62,19865710,2803.8371,1000
63,19865710,2848.3069,1000
64,19865710,2693.2364,1000
65,19865710,2639.7662,1000
66,19865710,3477.7776,1000
67,19865710,2703.2833,1000
68,19865710,3084.8869,1000
69,19865710,3246.6084,1000
70,19865710,2596.9075,1000
71,19875710,2812.0505,1000
72,19875710,2951.1483,1000
73,19875710,2985.8226,1000
74,19875710,3189.8251,1000
75,19875710,2744.9852,1000
76,19875710,2729.9400,1000
77,19875710,2795.6700,1000
78,19875710,2866.3473,1000
79,19875710,2508.9736,1000
80,19875710,2810.4583,1000
81,19885710,3116.4230,1000
82,19885710,3214.3269,1000
83,19885710,2811.4868,1000
84,19885710,2929.6220,1000
85,19885710,2843.7831,1000
86,19885710,2955.9621,1000
87,19885710,2690.7302,1000
88,19885710,3069.8465,1000
89,19885710,3084.6557,1000
90,19885710,3141.8689,1000
91,19895710,3209.3094,1000
92,19895710,3334.2548,1000
93,19895710,2835.0218,1000
94,19895710,3267.8396,1000
95,19895710,2939.8855,1000
96,19895710,2977.5677,1000
97,19895710,2876.6390,1000
98,19895710,3342.3226,1000
99,19895710,3272.1911,1000
100,19895710,3222.8016,1000
101,19905710,3152.5973,1000
102,19905710,2995.4576,1000
103,19905710,3372.8535,1000
104,19905710,3532.7828,1000
105,19905710,3319.1280,1000
106,19905710,3564.6445,1000
107,19905710,3344.2480,1000
108,19905710,2744.0647,1000
109,19905710,3420.7497,1000
110,19905710,3355.3298,1000
111,19915710,3669.0408,1000
112,19915710,3318.6148,1000
113,19915710,3637.8130,1000
114,19915710,3722.7397,1000
115,19915710,3076.5837,1000
116,19915710,3513.1248,1000
117,19915710,3237.7637,1000
118,19915710,3012.9809,1000
119,19915710,3823.3961,1000
120,19915710,3666.6953,1000
121,19925710,3493.8911,1000
122,19925710,3673.7920,1000
123,19925710,3524.8959,1000
124,19925710,3784.4232,1000
125,19925710,3505.7773,1000
126,19925710,3530.3533,1000
127,19925710,3377.2194,1000
128,19925710,3597.8007,1000
129,19925710,3179.8279,1000
130,19925710,2914.1982,1000
131,19935710,3493.2188,1000
132,19935710,3674.4632,1000
133,19935710,3723.1967,1000
134,19935710,3494.1352,1000
135,19935710,3387.5585,1000
136,19935710,3716.3393,1000
137,19935710,3265.7485,1000
138,19935710,3576.5096,1000
139,19935710,3486.4134,1000
140,19935710,4032.6002,1000
141,19945710,3276.5780,1000
142,19945710,3528.8369,1000
143,19945710,3833.1536,1000
144,19945710,3288.8957,1000
145,19945710,3389.9011,1000
146,19945710,3755.7678,1000
147,19945710,3703.0720,1000
148,19945710,3758.6147,1000
149,19945710,3840.4598,1000
150,19945710,3497.7980,1000
151,19955710,3585.0441,1000
152,19955710,3713.1230,1000
153,19955710,3058.8169,1000
154,19955710,2901.9184,1000
155,19955710,3651.8526,1000
156,19955710,3366.8809,1000
157,19955710,3432.7210,1000
158,19955710,3865.1179,1000
159,19955710,3784.5800,1000
160,19955710,3549.2307,1000
161,19965710,3711.5782,1000
162,19965710,4001.3282,1000
163,19965710,3829.7471,1000
164,19965710,3633.6819,1000
165,19965710,3789.3140,1000
166,19965710,3739.7290,1000
167,19965710,3508.5596,1000
168,19965710,3896.3453,1000
169,19965710,3276.0346,1000
170,19965710,3812.7704,1000
171,19975710,4166.3874,1000
172,19975710,3130.5123,1000
173,19975710,3894.5415,1000
174,19975710,3866.6465,1000
175,19975710,3539.7546,1000
176,19975710,3912.0054,1000
177,19975710,3515.7927,1000
178,19975710,3269.7172,1000
179,19975710,3975.6412,1000
180,19975710,3545.7692,1000
