episode,timestep,episode_reward,episode_length
1,100,-65.3816,10
2,140,-91.3949,14
3,150,-63.1804,15
4,160,-84.4101,16
5,180,-104.5188,18
6,290,-136.5352,29
7,330,-100.2458,15
8,390,-208.5075,39
9,470,-83.3077,18
10,580,-85.7983,25
11,600,-50.9900,13
12,690,-220.7991,59
13,710,-138.5274,57
14,860,-264.2385,70
15,950,-69.3349,24
16,1020,-174.4761,63
17,1070,-205.0085,107
18,1080,-315.7963,108
19,1190,-74.3740,24
20,1230,-159.6339,65
21,1410,-162.7284,72
22,1410,-419.3419,141
23,1640,-149.9029,45
24,1760,-242.4071,74
25,1910,-343.4816,105
26,1930,-217.0685,70
27,2000,-156.1698,93
28,2010,-331.4817,60
29,2080,-349.3953,100
30,2100,-104.7151,17
31,2220,-78.2699,81
32,2240,-148.3734,48
33,2260,-97.9768,18
34,2260,-168.0851,62
35,2410,-182.7685,40
36,2430,-214.1096,43
37,2460,-40.7528,20
38,2490,-672.2526,234
39,2520,-162.6105,30
40,2520,-80.7574,11
41,2700,-240.4346,60
42,2860,-161.9876,40
43,2890,-105.6133,37
44,2910,-135.6954,42
45,2950,-87.4498,25
46,3070,-304.1809,116
47,3280,-160.7990,39
48,3280,-352.0468,104
49,3340,-193.0997,43
50,3350,-197.0078,40
51,3380,-135.5865,31
52,3410,-78.4160,55
53,3420,-281.4734,116
54,3420,-240.8091,90
55,3490,-79.6628,15
56,3500,-469.2384,107
57,3570,-74.4190,15
58,3590,-34.1080,21
59,3620,-113.3491,20
60,3650,-74.6818,15
61,3650,-146.7402,24
62,3670,-159.3166,39
63,3780,-77.1244,16
64,3920,-187.5926,43
65,3920,-93.6027,27
66,4310,-227.5546,39
67,4370,-105.4380,59
68,4500,-82.8534,19
69,4540,-178.8728,62
70,4570,-254.4061,98
71,4640,-61.9851,27
72,4820,-115.8931,25
73,4820,-102.5855,32
74,4860,-397.7220,119
75,4870,-55.7343,23
76,4880,-322.8633,131
77,4950,-137.1454,41
78,5040,-89.4351,17
79,5080,-517.1385,173
80,5140,-91.9370,32
81,5260,-76.6000,38
82,5340,-174.6292,39
83,5510,-67.1565,17
84,5620,-154.9746,36
85,5660,-208.2844,58
86,5720,-108.6925,58
87,5770,-369.8432,73
88,5800,-322.8723,98
89,5860,-106.0169,20
90,5880,-341.9359,102
91,5890,-83.3932,27
92,6030,-92.1023,15
93,6100,-125.8072,33
94,6240,-158.2024,38
95,6310,-194.1507,42
96,6420,-65.7145,18
97,6470,-126.6847,16
98,6600,-153.0739,50
99,6640,-251.2703,113
100,6660,-223.8716,86
101,6790,-38.7367,15
102,6860,-378.8662,114
103,6950,-63.4292,16
104,7000,-116.2663,40
105,7120,-137.2599,46
106,7360,-137.3609,41
107,7390,-456.4891,136
108,7430,-228.6149,57
109,7530,-85.5166,17
110,7540,-60.4418,15
111,7560,-105.9152,13
112,7600,-128.0634,48
113,7740,-55.2907,18
114,7900,-86.8997,36
115,8050,-146.3637,45
116,8110,-339.5089,111
117,8110,-513.4729,164
118,8110,-184.6616,58
119,8190,-614.4790,177
120,8240,-51.6748,13
121,8240,-139.2971,50
122,8370,-131.3712,32
123,8420,-127.9055,31
124,8440,-128.8779,20
125,8460,-119.5028,27
126,8530,-200.0516,63
127,8600,-57.6890,18
128,8640,-196.8228,53
129,8720,-120.6557,26
130,8730,-121.7201,29
131,8990,-99.5562,27
132,9080,-162.9202,71
133,9090,-252.6569,45
134,9140,-327.8497,90
135,9250,-50.6477,16
136,9420,-30.4515,17
137,9490,-138.4713,41
138,9520,-335.4020,79
139,9640,-152.2566,50
140,9760,-202.8604,77
141,9810,-142.8953,29
142,9880,-74.0514,39
143,9980,-56.7174,10
144,10100,-66.3315,12
145,10240,-200.2699,60
146,10270,-394.3871,167
147,10320,-151.4103,51
148,10330,-193.6965,57
149,10430,-78.7680,16
150,10470,-40.3110,37
151,10600,-2791.2760,1000
152,10630,-69.1523,16
153,10650,-161.6202,41
154,10690,-31.8346,36
155,10760,-270.3302,44
156,10910,-81.3978,48
157,10910,-134.9328,28
158,10980,-72.2435,22
159,10990,-127.8037,39
160,11030,-56.6976,12
161,11150,-57.2482,12
162,11320,-136.3497,41
163,11320,-224.7871,63
164,11400,-244.2536,75
165,11400,-81.2024,25
166,11670,-165.4002,27
167,11760,-245.9738,44
168,11760,-87.0511,36
169,11820,-190.9786,50
170,12070,-128.6418,31
171,12090,-125.0392,33
172,12320,-191.1615,65
173,12330,-101.2403,26
174,12330,-203.5950,51
175,12400,-117.3524,31
176,12480,-77.8623,15
177,12540,-385.6133,155
178,12680,-157.8818,28
179,12740,-84.1032,42
180,12740,-81.5234,20
181,12830,-68.8155,35
182,12910,-157.8156,58
183,12970,-78.9332,23
184,13260,-466.8227,228
185,13280,-50.5098,31
186,13280,-2875.3337,1000
187,13310,-174.5757,57
188,13330,-127.4627,50
189,13440,-54.7106,13
190,13610,-38.7900,17
191,13650,-201.6740,74
192,13650,-2914.3971,1000
193,13850,-221.9847,59
194,13860,-268.4790,118
195,13900,-175.1409,57
196,14030,-241.0371,75
197,14170,-206.6097,56
198,14220,-63.5285,19
199,14380,-54.4790,16
200,14450,-351.0083,80
201,14580,-61.0528,20
202,14700,-191.4481,80
203,14870,-587.9534,159
204,14880,-350.0869,102
205,14940,-147.4398,49
206,15180,-181.3841,31
207,15380,-141.6417,50
208,15550,-228.1220,97
209,15720,-44.9916,17
210,15740,-150.2296,80
211,15780,-233.9479,60
212,15990,-102.5214,27
213,16050,-65.0701,31
214,16120,-94.1568,34
215,16220,-271.8033,84
216,16250,-83.7147,13
217,16440,-94.2136,19
218,16580,-101.3458,14
219,16580,-207.3419,59
220,16690,-159.6615,47
221,16690,-139.4388,64
222,16820,-96.1161,13
223,16880,-110.4381,19
224,16950,-81.2305,13
225,17010,-144.2875,43
226,17020,-170.1062,44
227,17130,-48.1509,18
228,17140,-62.2443,13
229,17250,-114.0231,37
230,17430,-187.0102,41
231,17520,-113.0073,27
232,17560,-105.6616,13
233,17960,-157.6743,40
234,18100,-208.0463,97
235,18210,-238.2622,69
236,18430,-137.7725,47
237,18470,-144.2139,37
238,18520,-189.1209,31
239,18530,-2773.0225,1000
240,18700,-79.6011,18
241,18760,-86.7738,33
242,18770,-550.3281,163
243,18890,-191.5023,42
244,19180,-85.0565,41
245,19370,-276.0895,84
246,19420,-2883.3168,1000
247,19490,-49.9350,12
248,19560,-114.8750,38
249,19640,-148.8394,94
250,19940,-225.8379,52
251,20010,-194.7301,52
252,20040,-205.5993,48
253,20150,-49.5114,21
254,20310,-95.6069,27
255,20450,-319.3065,81
256,20610,-83.6454,30
257,20620,-57.4474,17
258,21140,-241.9679,52
259,21150,-240.1077,54
260,21370,-380.1978,122
261,21700,-158.4022,56
262,21730,-208.2135,36
263,21910,-240.6191,76
264,22000,-136.3148,30
265,22050,-64.5775,14
266,22130,-123.1831,40
267,22260,-78.9196,21
268,22270,-62.4988,14
269,22370,-195.2585,37
270,22480,-51.5813,21
271,22680,-65.1421,20
272,22710,-111.2772,34
273,22890,-180.8630,21
274,23110,-112.3383,22
275,23300,-127.2485,59
276,23370,-80.9055,26
277,23500,-60.5113,20
278,23640,-435.0778,138
279,23650,-2846.2301,1000
280,23700,-90.5634,33
281,23850,-2741.5091,1000
282,23900,-85.1457,20
283,23950,-102.7233,31
284,24110,-136.4245,46
285,24140,-50.8467,29
286,24170,-2979.0682,1000
287,24500,-92.5148,36
288,24620,-46.6683,12
289,24700,-3013.3310,1000
290,24900,-111.7404,28
291,24940,-310.4348,77
292,25070,-156.6340,37
293,25100,-408.1579,99
294,25120,-64.1292,18
295,25150,-408.6191,125
296,25320,-100.1358,22
297,25390,-152.0526,49
298,25410,-96.5657,34
299,25440,-120.5374,29
300,25520,-83.6290,13
301,25570,-530.8826,162
302,25650,-208.8713,53
303,25850,-236.0450,41
304,26020,-68.7196,17
305,26130,-248.4339,72
306,26150,-141.7530,50
307,26290,-75.7049,16
308,26300,-330.0043,98
309,26380,-154.0646,36
310,26490,-294.3396,97
311,26550,-71.7850,17
312,26650,-102.1630,35
313,26710,-36.6703,16
314,26960,-81.8745,47
315,27170,-186.9449,88
316,27180,-113.9577,47
317,27200,-140.2574,55
318,27200,-294.4344,105
319,27320,-63.1590,15
320,27390,-71.1464,19
321,27490,-145.7100,31
322,27520,-75.8346,13
323,27980,-145.9869,46
324,28230,-144.0781,103
325,28640,-368.6541,115
326,28760,-2777.5194,1000
327,28890,-2986.1432,1000
328,29010,-286.8566,78
329,29120,-353.8020,114
330,29160,-76.0721,15
331,29350,-146.5268,59
332,29800,-120.8543,64
333,30010,-2737.2408,1000
334,30140,-312.1617,102
335,30200,-367.7957,156
336,30300,-326.5618,141
337,30330,-224.9739,53
338,30440,-77.8172,14
339,30560,-276.4135,121
340,30820,-103.2459,38
341,30840,-259.9495,83
342,30970,-255.6750,77
343,30990,-147.0399,43
344,31060,-114.8503,24
345,31070,-106.6553,23
346,31080,-264.8970,94
347,31200,-98.2577,14
348,31210,-66.8949,22
349,31330,-74.3544,13
350,31340,-103.1107,37
351,31470,-162.7898,39
352,31470,-107.9812,26
353,31570,-110.1473,24
354,31690,-85.4566,22
355,31740,-106.4273,27
356,32380,-124.1397,64
357,32430,-338.8791,136
358,32620,-264.5977,105
359,32720,-288.3403,103
360,32740,-88.2748,12
361,33110,-211.5811,37
362,33360,-270.5483,98
363,33480,-28.7121,12
364,33490,-151.4803,77
365,33500,-2948.6972,1000
366,33510,-123.9322,108
367,33590,-55.3546,11
368,33790,-218.3016,68
369,33910,-155.5954,41
370,33940,-65.0892,15
371,34060,-139.0679,57
372,34100,-81.3868,16
373,34240,-242.3733,73
374,34320,-198.8741,41
375,34710,-238.1983,65
376,34840,-252.2108,74
377,35000,-71.6987,16
378,35020,-151.3100,78
379,35100,-86.3362,39
380,35390,-182.5609,39
381,35440,-131.8798,34
382,35570,-2857.2438,1000
383,35680,-48.3116,29
384,35750,-224.7482,73
385,35820,-73.4923,38
386,35920,-117.3085,10
387,36140,-165.9275,46
388,36650,-161.0313,51
389,36800,-329.0703,123
390,36830,-99.6750,18
391,36880,-355.3967,113
392,36960,-2948.4486,1000
393,37110,-125.2240,15
394,37150,-57.5142,35
395,37230,-318.5484,131
396,37260,-94.0318,43
397,37320,-2888.9694,1000
398,37370,-112.7251,49
399,37470,-115.7302,21
400,37550,-233.8006,44
401,37570,-106.0559,10
402,37690,-84.4728,14
403,37860,-86.0070,17
404,37900,-255.1116,75
405,37910,-216.3081,68
406,37930,-163.9631,56
407,37980,-221.5138,66
408,38100,-85.4506,19
409,38100,-106.5022,17
410,38140,-75.7553,28
411,38140,-93.8106,24
412,38370,-172.5242,23
413,38440,-128.4512,34
414,38560,-226.2173,46
415,38670,-163.2145,69
416,38700,-66.5301,14
417,38820,-108.0823,38
418,38990,-102.6108,29
419,39040,-244.1689,90
420,39130,-298.1630,76
421,39230,-97.2799,19
422,39300,-164.9003,48
423,39320,-164.4146,65
424,39520,-131.3457,29
425,39550,-26.0733,23
426,39980,-105.0435,43
427,40010,-280.7577,88
428,40240,-73.1005,26
429,40260,-93.5894,74
430,40300,-366.7877,131
431,40330,-2951.6481,1000
432,40400,-74.1957,14
433,40460,-117.7605,45
434,40530,-99.9453,23
435,40600,-351.1620,130
436,40680,-36.6583,15
437,40700,-74.2802,37
438,40700,-54.0973,24
439,40750,-141.9196,51
440,40820,-54.2084,14
441,40830,-48.7315,23
442,40940,-55.1473,12
443,41060,-104.3037,66
444,41150,-78.8511,40
445,41210,-181.0335,51
446,41240,-82.7980,18
447,41250,-177.3931,42
448,41340,-2953.6675,1000
449,41440,-188.7007,50
450,41510,-120.1434,36
451,41570,-77.6950,23
452,41640,-149.0768,13
453,41650,-111.3769,21
454,41770,-143.2738,53
455,41920,-38.1978,35
456,42170,-41.2387,40
457,42330,-220.3386,108
458,42350,-49.0681,18
459,42360,-377.1296,115
460,42490,-72.3097,16
461,42560,-278.8646,92
462,42600,-48.1825,11
463,42680,-370.3704,103
464,42680,-213.1657,76
465,42740,-84.4194,39
466,42860,-55.5023,18
467,42980,-302.1222,62
468,43130,-112.0664,57
469,43240,-125.0718,38
470,43300,-225.7568,70
471,43310,-73.3278,18
472,43330,-197.0430,59
473,43480,-92.5457,18
474,43590,-2947.6808,1000
475,43670,-216.1844,99
476,43840,-70.0643,25
477,43930,-212.3747,69
478,43950,-136.8142,47
479,44060,-192.7838,75
480,44060,-66.4451,22
481,44140,-75.8547,21
482,44320,-2748.0432,1000
483,44490,-102.3774,35
484,44510,-319.9163,153
485,44520,-187.1717,46
486,44580,-215.9855,63
487,44680,-146.7087,36
488,45040,-204.8322,98
489,45090,-320.0981,60
490,45130,-210.3396,55
491,45130,-241.8122,61
492,45230,-29.5295,19
493,45360,-101.5027,23
494,45360,-126.0462,27
495,45450,-230.6058,77
496,45450,-68.8935,9
497,45520,-73.8370,39
498,45520,-53.2188,16
499,45630,-108.3193,18
500,45830,-97.9664,31
501,45850,-96.0511,62
502,45910,-54.7700,28
503,46020,-167.2560,50
504,46200,-129.6000,18
505,46240,-225.4217,79
506,46260,-164.0698,41
507,46600,-142.6607,40
508,46720,-109.2446,46
509,46760,-143.0716,52
510,46800,-183.2742,97
511,46910,-86.1373,31
512,46960,-98.5024,20
513,47160,-477.9618,125
514,47380,-132.1943,47
515,47470,-128.6273,31
516,47470,-198.5233,51
517,47510,-191.6598,71
518,47570,-2923.3453,1000
519,47800,-134.0692,33
520,47850,-271.4551,113
521,47900,-184.8473,52
522,47950,-139.9728,44
523,47950,-196.3370,38
524,47960,-256.0402,49
525,48100,-81.0287,14
526,48130,-136.3425,33
527,48140,-54.5928,19
528,48250,-92.2137,35
529,48320,-88.2271,47
530,48410,-95.5609,28
531,48590,-116.5365,49
532,48610,-57.2849,20
533,48650,-92.8991,40
534,48700,-173.4671,56
535,48830,-118.7766,24
536,49160,-149.1745,51
537,49170,-150.2760,34
538,49240,-100.8733,63
539,49280,-249.5153,96
540,49300,-67.8195,14
541,49300,-339.2186,135
542,49540,-135.5659,30
543,49720,-89.7588,44
544,49760,-124.1366,22
545,49770,-1923.5109,644
546,49960,-69.0603,19
547,50010,-157.7548,25
548,50170,-301.0459,147
549,50340,-79.9607,17
550,50470,-242.2703,75
551,50600,-199.3610,59
552,50690,-151.0953,35
553,50700,-2956.7245,1000
554,50730,-97.7421,13
555,50890,-79.0498,16
556,51250,-1894.2558,674
557,51260,-563.0000,196
558,51350,-157.5165,65
559,51400,-61.7467,15
560,51480,-240.1913,79
561,51490,-64.0078,14
562,51500,-148.3710,61
563,51570,-93.0625,17
564,51730,-98.7078,16
565,51740,-104.4579,48
566,51900,-151.1690,17
567,52080,-83.9324,18
568,52260,-69.5746,18
569,52390,-253.0055,90
570,52510,-326.9934,101
571,52640,-170.7729,90
572,52720,-474.8529,124
573,52730,-65.3878,22
574,52970,-627.1736,250
575,53000,-101.5180,28
576,53010,-117.3143,37
577,53180,-84.4579,18
578,53280,-60.7474,27
579,53330,-65.8824,15
580,53470,-36.4590,14
581,53470,-55.8054,19
582,53550,-149.5814,82
583,53670,-2958.4569,1000
584,53800,-55.6225,33
585,53800,-112.0187,25
586,53840,-83.3435,17
587,53970,-27.8203,17
588,53970,-361.5453,171
589,53990,-82.3950,52
590,54120,-68.3536,13
591,54160,-103.5077,19
592,54170,-100.4704,20
593,54270,-362.8225,130
594,54340,-98.2117,18
595,54390,-484.6524,200
596,54580,-112.5615,41
597,54710,-165.5448,44
598,54740,-75.1339,16
599,54910,-232.1029,52
600,54940,-224.3720,82
601,55190,-72.4127,25
602,55240,-161.5344,50
603,55250,-141.6269,54
604,55340,-77.1559,15
605,55380,-156.9802,47
606,55480,-70.1800,14
607,55540,-102.4295,30
608,55590,-80.9422,34
609,55930,-157.5418,39
610,55950,-148.7774,47
611,56020,-120.6712,43
612,56120,-58.0287,19
613,56440,-151.6733,49
614,56600,-129.2087,48
615,56850,-880.5297,251
616,57000,-106.6228,15
617,57100,-176.1092,50
618,57210,-35.3047,21
619,57510,-75.7256,30
620,57560,-271.7260,154
621,57580,-158.3411,48
622,57760,-82.7866,18
623,57810,-75.9495,25
624,58190,-204.2772,68
625,58290,-105.8698,53
626,58520,-191.6034,33
627,58840,-81.7556,32
628,59140,-101.6063,30
629,59170,-2752.4062,1000
630,59200,-273.4447,91
631,59280,-101.9575,11
632,59290,-92.2536,15
633,59300,-2918.4344,1000
634,59490,-60.0675,21
635,59560,-81.6893,26
636,59660,-64.1942,17
637,59710,-82.4530,15
638,59960,-2694.3974,1000
639,60140,-320.2979,85
640,60480,-230.6115,77
641,60520,-108.8448,38
642,60590,-130.9034,63
643,60680,-79.7380,20
644,60760,-87.2890,17
645,60900,-197.5907,38
646,60940,-52.4454,18
647,61170,-51.2723,23
648,61320,-75.4628,15
649,61460,-166.5626,78
650,61760,-115.7666,44
651,62380,-201.7395,62
652,62530,-64.7747,15
653,62740,-62.3427,21
654,62880,-650.3215,198
655,62900,-358.5640,144
656,62980,-73.7517,10
657,63070,-84.9183,33
658,63400,-208.7232,33
659,63620,-246.6132,72
660,63730,-103.5897,33
661,63800,-2843.6245,1000
662,63840,-2663.4925,1000
663,64150,-125.4897,53
664,64170,-144.7510,33
665,64330,-219.5524,60
666,64500,-75.3714,17
667,64500,-175.8993,70
668,64580,-377.4209,160
669,64930,-179.1266,78
670,65280,-163.7761,111
671,65360,-191.0807,78
672,65380,-2533.7159,1000
673,65530,-119.5537,103
674,65560,-79.5992,18
675,65890,-265.4114,61
676,65980,-168.0031,62
677,66240,-173.9174,71
678,66270,-484.0789,177
679,66360,-163.7251,80
680,66440,-2727.0663,1000
681,66540,-162.3088,56
682,66590,-59.0725,15
683,66810,-202.5314,54
684,66940,-129.2104,35
685,67080,-144.7591,54
686,67350,-215.2259,99
687,67520,-174.3315,71
688,67530,-351.8179,164
689,67670,-189.9315,32
690,67810,-2811.7431,1000
691,68020,-121.0663,49
692,68180,-194.4592,51
693,68190,-84.0758,38
694,68260,-271.8308,118
695,68350,-66.7770,16
696,68550,-103.1836,37
697,68630,-623.4826,239
698,68740,-108.3161,19
699,68760,-364.8908,124
700,68960,-57.5552,20
701,69050,-669.1508,211
702,69080,-334.4284,73
703,69200,-2819.8104,1000
704,69230,-182.7979,97
705,69280,-232.9338,65
706,69290,-37.4564,21
707,69310,-106.0030,26
708,69380,-135.8102,42
709,69440,-111.4193,24
710,69470,-198.9573,73
711,69530,-97.7002,22
712,69660,-2704.1279,1000
713,69670,-71.1073,14
714,69700,-172.8233,32
715,69950,-127.3534,28
716,69960,-203.9277,68
717,69980,-122.6858,51
718,70010,-131.4824,31
719,70070,-129.2050,41
720,70160,-124.7361,15
721,70210,-107.2334,23
722,70260,-5.2034,30
723,70380,-187.0648,43
724,70410,-340.5412,118
725,70430,-140.6654,36
726,70720,-112.0087,46
727,70960,-100.1495,24
728,71100,-173.5128,69
729,71330,-131.9699,23
730,71550,-450.9476,139
731,71630,-410.0502,125
732,71840,-333.2886,141
733,71960,-223.2470,63
734,71970,-110.7816,34
735,72210,-152.1726,37
736,72380,-113.4306,42
737,72440,-156.8125,47
738,72520,-125.1761,31
739,72560,-197.7160,101
740,72810,-291.4185,185
741,72980,-63.3260,17
742,73050,-213.5190,53
743,73270,-158.7208,83
744,73530,-127.1965,48
745,73550,-233.5649,117
746,73630,-149.4243,65
747,73980,-146.0613,43
748,74020,-164.8695,49
749,74100,-117.2264,47
750,74150,-45.9826,17
751,74170,-383.1492,161
752,74310,-41.3202,16
753,74510,-35.9437,20
754,74840,-283.5938,74
755,74930,-2872.9282,1000
756,75050,-428.9721,178
757,75120,-237.2368,110
758,75190,-103.8977,26
759,75280,-140.0117,44
760,75460,-295.1666,95
761,75630,-464.0537,146
762,75770,-75.4671,49
763,75920,-97.4866,15
764,76200,-204.9205,108
765,76260,-172.7195,34
766,76330,-154.4065,70
767,76690,-92.8721,43
768,76750,-503.6984,156
769,76790,-47.4279,10
770,76900,-257.7098,70
771,77040,-56.8414,14
772,77110,-51.7490,32
773,77260,-39.6042,22
774,77620,-172.8190,51
775,78020,-2511.5630,1000
776,78020,-157.7708,76
777,78160,-90.4355,14
778,78190,-233.2927,57
779,78370,-155.6655,35
780,78470,-98.8261,28
781,78500,-43.5453,13
782,78680,-587.3042,193
783,78810,-92.1199,31
784,79070,-404.5940,91
785,79160,-178.7549,48
786,79200,-155.5910,39
787,79280,-239.6911,81
788,79290,-2669.7373,1000
789,79430,-91.3429,23
790,79440,-2837.9376,1000
791,79570,-78.8485,28
792,79720,-232.4896,65
793,79750,-188.1944,47
794,79780,-135.5983,62
795,79810,-143.8437,37
796,79910,-77.5211,16
797,79930,-132.4674,50
798,79970,-43.5068,16
799,79990,-60.5261,21
800,80120,-94.8276,13
801,80210,-2806.6020,1000
802,80320,-167.5289,60
803,80370,-124.7073,40
804,80400,-236.7906,47
805,80460,-95.8147,14
806,80560,-53.6268,16
807,80570,-173.4024,36
808,80650,-175.7843,53
809,81010,-137.2138,45
810,81010,-152.5250,64
811,81020,-199.7787,56
812,81110,-76.8171,10
813,81160,-168.6802,51
814,81380,-77.9358,37
815,81770,-98.2224,39
816,81780,-255.6398,76
817,81820,-220.7511,125
818,82030,-102.0009,25
819,82090,-220.1909,93
