episode,timestep,episode_reward,episode_length
1,90,-3.2452,9
2,140,2.0446,14
3,140,28.1192,14
4,170,6.4659,17
5,320,35.4664,32
6,340,-14.7354,25
7,400,22.1525,40
8,460,0.9460,12
9,560,9.1429,39
10,580,-36.2758,58
11,610,37.8051,61
12,620,-13.6707,48
13,710,58.1383,57
14,730,-42.3566,73
15,730,0.6538,17
16,760,0.7972,30
17,770,-15.5670,15
18,870,-7.8266,14
19,920,-34.9915,21
20,1020,86.9151,70
21,1040,-12.1855,104
22,1160,-38.3350,43
23,1180,-57.4410,78
24,1250,16.6259,49
25,1330,9.5247,15
26,1360,8.4797,11
27,1370,5.0759,45
28,1390,-20.5351,35
29,1490,103.2976,62
30,1490,-13.2180,12
31,1500,22.7599,11
32,1590,-5.6279,57
33,1710,-26.6898,22
34,1780,-20.3672,19
35,1780,45.6496,29
36,1850,79.5665,49
37,1860,4.2159,15
38,1890,32.4351,131
39,1990,-51.6024,49
40,2040,-6.4435,18
41,2190,-4.1006,142
42,2330,35.3173,34
43,2350,241.0208,174
44,2370,-28.8871,33
45,2390,10.5898,54
46,2450,-24.9433,67
47,2560,75.5178,67
48,2560,37.6132,11
49,2570,49.8673,124
50,2610,-0.2975,24
51,2670,27.3220,28
52,2770,46.7948,21
53,2790,85.8734,44
54,2790,-2.4265,23
55,2910,14.4001,14
56,2950,108.7623,117
57,2970,12.0507,18
58,2980,79.7638,41
59,3310,42.5686,34
60,3310,-12.2360,112
61,3350,70.1851,74
62,3390,71.0347,60
63,3420,-64.0369,47
64,3490,-85.1621,82
65,3570,1.8768,18
66,3620,2.7068,31
67,3720,23.5592,23
68,3840,-101.3097,49
69,3940,-3.9040,63
70,3970,5.9496,25
71,3990,-4.1535,57
72,4040,-34.4760,106
73,4050,-3.9904,11
74,4070,-9.9908,23
75,4190,-19.8502,14
76,4330,74.2845,71
77,4350,-13.5026,16
78,4460,19.4215,89
79,4500,-14.2997,15
80,4550,-10.7933,48
81,4650,-20.9592,68
82,4720,7.3446,22
83,4740,6.1018,75
84,4840,-3.3185,12
85,4860,10.2962,21
86,4930,-13.9778,19
87,5070,-11.2835,14
88,5110,12.7645,56
89,5120,63.1025,28
90,5190,-8.4290,86
91,5270,15.2938,16
92,5320,-44.9842,46
93,5380,-37.2280,31
94,5480,-21.8046,29
95,5510,-15.9831,39
96,5640,-31.0385,37
97,5760,14.5635,44
98,5770,3.1188,26
99,5810,-4.6303,17
100,5980,11.4344,21
101,6010,-62.4510,63
102,6050,-4.9824,24
103,6090,28.8241,61
104,6460,-28.1031,37
105,6810,5.1833,35
106,6910,135.8412,90
107,7150,-43.9046,117
108,7320,-90.8708,41
109,7330,-9.7247,52
110,7350,20.4602,20
111,7400,125.8540,164
112,7570,4.1317,17
113,7780,54.6773,43
114,7820,77.3249,177
115,7900,18.9486,12
116,8000,5.2500,43
117,8030,-60.4810,71
118,8050,-9.6513,23
119,8130,8.7280,10
120,8250,-2.3083,35
121,8310,45.2106,31
122,8350,13.8202,30
123,8640,-16.6274,29
124,8650,70.1281,132
125,8680,-71.6108,37
126,8820,-19.5964,17
127,8820,36.1323,57
128,8830,34.5718,15
129,8900,-39.3239,77
130,9170,-9.4634,27
131,9180,-64.1405,36
132,9220,45.0026,58
133,9320,58.7172,49
