episode,timestep,episode_reward,episode_length
1,110,27.2810,11
2,140,19.3057,14
3,140,-53.0755,14
4,170,-2.0223,17
5,220,25.0576,22
6,270,7.0016,27
7,330,5.6621,19
8,350,27.1253,35
9,390,-3.6370,17
10,400,-20.6393,40
11,460,-6.4488,11
12,610,-4.5824,15
13,640,-6.2152,47
14,800,51.5164,66
15,820,27.4985,49
16,880,12.5355,24
17,1080,-28.5334,81
18,1110,3.2207,72
19,1130,-2.0877,113
20,1200,108.7816,59
21,1220,89.2194,82
22,1280,-14.8575,17
23,1360,22.1846,125
24,1430,3.7299,61
25,1540,-3.3174,11
26,1580,-16.6708,45
27,1760,31.7403,40
28,1840,-19.4752,64
29,1860,127.2972,186
30,2160,-8.6528,128
31,2190,12.6741,91
32,2240,57.1827,102
33,2280,33.0388,44
34,2310,-10.6877,12
35,2340,100.5903,80
36,2430,62.2332,57
37,2430,16.3856,85
38,2460,26.9384,12
39,2490,-0.5167,25
40,2580,94.6686,150
41,2620,-23.4725,13
42,2680,-53.0446,37
43,2840,-80.2821,38
44,2860,21.2367,110
45,2870,47.5707,29
46,3090,-104.7346,93
47,3160,131.4488,88
48,3160,-21.1599,29
49,3240,-42.2199,38
50,3420,141.8911,262
51,3430,56.7480,81
52,3470,-47.4968,104
53,3490,64.8956,106
54,3550,31.7933,12
55,3600,25.2177,76
56,3650,-17.0663,16
57,3660,-3.5530,19
58,3690,24.9550,53
59,3740,13.7417,32
60,3770,-12.1518,17
61,3870,-11.8132,22
62,4030,-31.7713,26
63,4040,5.3725,30
64,4090,-44.4905,85
65,4280,-5.4931,19
66,4350,9.7816,80
67,4430,-71.2730,39
68,4670,64.9204,39
69,4720,130.9282,156
70,4970,-39.9008,54
71,4990,-14.8207,27
72,5080,63.8153,105
73,5100,46.0560,43
74,5130,129.7363,144
75,5150,-70.0414,149
76,5220,-31.0932,23
77,5260,9.8329,13
78,5420,76.4915,34
79,5690,-35.2874,47
80,5740,56.7993,59
81,5760,34.3389,66
82,5800,9.8067,38
83,5860,-14.0447,17
84,5900,-8.4499,14
85,5930,13.6455,13
86,6070,9.6701,81
87,6110,-6.0968,25
88,6140,7.6825,40
89,6200,31.4468,27
90,6320,26.5419,18
91,6350,39.3385,24
92,6470,-71.7809,57
93,6540,-30.0832,22
94,6600,-33.6413,40
95,6630,-21.5940,16
96,6760,37.1789,22
97,6900,-3.5180,30
98,7060,36.0729,30
99,7220,33.1831,59
100,7530,-38.5071,63
101,7910,-7.8321,69
102,8040,9.7872,98
103,8110,-10.6640,7
104,8280,-18.5708,17
105,8580,6.8805,30
106,8600,1.5418,69
107,8730,-1442.3078,376
108,8810,8.9929,21
109,8890,-12.1813,16
110,9110,2.7525,22
111,9210,1.1015,40
112,9310,-14.1780,10
113,9410,-99.3731,188
114,9600,13.1050,29
115,9630,-14.5817,105
116,9710,-0.3034,11
117,9770,34.7992,66
118,9790,-11.1433,16
119,9900,61.1057,19
120,10000,47.0085,59
121,10070,-58.8046,28
122,10110,7.3159,11
123,10280,54.3923,21
124,10350,63.3711,58
125,10460,-9.5488,11
126,10510,-5.7945,40
127,10610,-36.9475,71
128,10830,70.4679,37
129,10880,3.8931,60
130,10950,6.9975,44
131,11020,-44.5169,41
132,11350,-44.9666,52
133,11750,-10.4946,87
134,11790,16.6046,44
135,11940,-35.6675,99
136,12170,-20.3233,38
137,12540,5.0257,37
138,12680,-4632.0300,1000
139,12770,-86.8683,102
140,12780,144.1191,176
141,12930,85.1089,39
142,13090,-4653.4343,1000
143,13290,3.8345,36
144,13500,19.4879,21
145,13670,-23.5207,173
146,13700,-15.6252,102
147,13870,-4381.0805,1000
148,14050,-15.5147,35
149,14290,-114.0696,79
150,14350,-4526.6667,1000
151,14390,10.5769,34
152,14420,7.4920,13
153,14450,-50.6814,168
154,14730,-16.4734,34
155,14840,0.6541,11
156,14900,-49.1494,45
157,15020,-6.3599,12
158,15130,10.2726,71
159,15510,-26.7890,164
160,15520,4.2110,39
161,15650,-2.9337,13
162,15660,-41.5554,64
163,15720,26.2475,21
164,15800,3.5531,15
165,15900,-65.3935,106
166,15910,-24.1677,25
167,15960,76.2946,161
168,16070,-4327.6408,1000
169,16350,-4398.9574,1000
170,16390,57.8667,59
171,16390,-30.8639,32
172,16470,13.0422,56
173,16560,6.2597,17
174,16590,61.0927,69
175,16840,18.8907,49
176,16860,69.8298,39
177,17020,-8.6431,43
178,17030,-136.1920,131
179,17040,83.7465,48
180,17120,17.3320,10
181,17240,-17.0518,12
182,17250,14.0102,21
183,17370,-5.7220,12
184,17490,44.5641,63
185,17520,-21.4506,15
186,17540,10.3580,51
187,17540,-98.4448,70
188,17840,7.5090,30
189,18010,4.5062,17
190,18110,12.0136,10
191,18210,9.3252,10
192,18460,74.0306,92
193,18550,45.0432,34
194,19440,88.6311,89
195,20810,-79.4630,137
196,21310,27.7913,50
197,21510,25.7353,20
198,21740,28.1868,23
199,22280,-29.1704,54
200,22370,12.3505,9
201,22540,13.0871,17
202,22700,-8.8443,16
203,22780,-4587.2911,1000
204,23090,-4691.5463,1000
205,23160,-17.4609,38
206,23330,16.2648,63
207,23390,-45.0470,23
208,23520,23.5457,13
209,23670,-4569.9791,1000
210,23810,-15.5911,14
211,23930,73.5208,84
212,24050,33.1785,12
213,24080,-28.3442,75
214,24300,3.5336,49
215,24510,4.2176,21
216,24530,70.9323,45
217,24560,-39.5398,51
218,24780,-3.9794,25
219,24820,24.8939,31
220,25020,10.0981,20
221,25310,10.8972,75
222,25510,7.8605,20
223,25580,0.1483,56
224,25820,26.5753,104
225,25870,-39.3634,36
226,25960,-3792.4347,1000
227,26000,11.9182,18
228,26000,29.5426,42
229,26150,58.0764,28
230,26390,-4765.3419,1000
231,26520,42.3661,56
232,26520,19.8251,37
