episode,timestep,episode_reward,episode_length
1,90,-75.6190,9
2,140,-44.8250,14
3,140,-233.8167,14
4,170,-94.8468,17
5,230,-197.8474,23
6,270,-70.7551,27
7,380,-96.2038,38
8,390,-23.6795,16
9,390,-107.3898,25
10,460,-52.3630,46
11,480,-136.8861,48
12,620,-156.9159,45
13,740,-360.0121,65
14,860,-286.9535,72
15,900,-346.9581,90
16,930,-295.2758,31
17,980,-251.3851,24
18,1110,-89.6701,25
19,1120,-122.4794,22
20,1210,-99.9845,23
21,1450,-293.7994,99
22,1500,-638.4677,102
23,1720,-333.0605,79
24,1840,-62.2765,12
25,1890,-171.4006,68
26,2100,-701.3917,171
27,2280,-300.8541,83
28,2380,-295.2164,49
29,2420,-730.8839,130
30,2480,-118.1052,38
31,2590,-169.0857,31
32,2590,-134.0241,17
33,2650,-524.2019,81
34,2740,-440.7139,124
35,2790,-72.9749,31
36,2840,-1348.9218,245
37,2900,-171.0198,52
38,2940,-55.2045,20
39,3130,-29.5250,19
40,3150,-67.4696,31
41,3250,-136.8252,35
42,3340,-395.4502,75
43,3350,-263.2014,56
44,3420,-454.2119,83
45,3460,-56.6845,33
46,3580,-78.0337,16
47,3600,-692.7832,95
48,3720,-223.0531,37
49,3740,-188.1412,40
50,3960,-176.6570,24
51,3980,-225.7843,40
52,4210,-167.6020,25
53,4290,-664.5443,114
54,4340,-124.5114,13
55,4460,-761.8959,86
56,4460,-51.9963,17
57,4660,-340.0423,68
58,4940,-638.7209,148
59,4970,-581.0458,123
60,4990,-75.0341,33
61,5110,-335.7540,65
62,5190,-123.4425,22
63,5470,-653.8949,101
64,5740,-338.6734,75
65,5930,-531.7472,99
66,5970,-320.0558,78
67,5990,-819.1126,88
68,6110,-75.1310,14
69,6120,-204.1287,38
70,6280,-221.7608,35
71,6370,-40.7727,26
72,6370,-399.6891,90
73,6610,-141.1438,24
74,6670,-92.1552,30
75,6880,-292.2869,89
76,6950,-491.9750,83
77,7030,-238.7923,75
78,7080,-5.9519,13
79,7210,-107.8277,18
80,7250,-259.9348,58
81,7540,-461.9794,93
82,8010,-859.4398,93
83,8210,-326.3430,67
84,8280,-769.7154,103
85,8370,-363.2314,116
86,8460,-128.5613,45
87,8680,-48.6393,22
88,8700,-222.2452,49
89,9030,-208.0314,66
90,9140,-239.2763,86
91,9150,-163.8208,47
92,9330,-137.6807,19
93,9390,-281.2274,69
94,9440,-92.9916,29
95,9450,-128.3910,42
96,9640,-60.6633,31
97,9720,-3135.3321,538
98,9940,-202.2860,55
99,9940,-83.7051,30
100,10080,-82.0248,36
101,10090,-392.6568,65
102,10180,-326.9292,73
103,10220,-62.1855,13
104,10270,-137.8094,33
105,10270,-4992.3393,1000
106,10380,-5205.9665,1000
107,10400,-94.5286,22
108,10460,-385.3767,52
109,10460,-317.5447,38
110,10520,-91.7835,25
111,10570,-79.8906,11
112,10700,-104.9112,48
113,10720,-52.5092,15
114,10830,-143.5525,43
115,10880,-477.7561,61
116,10910,-191.9518,39
117,10990,-71.7664,16
118,11080,-138.3200,20
119,11110,-5218.4971,1000
120,11180,-518.8322,72
121,11300,-381.2241,58
122,11310,-50.8379,13
123,11380,-116.2468,30
124,11440,-20.7067,13
125,11480,-308.9667,57
