episode,timestep,episode_reward,episode_length
1,420,-86.2821,42
2,490,-178.0997,49
3,560,-97.3329,56
4,700,-156.4348,70
5,750,-70.0827,19
6,910,-189.6642,91
7,950,-84.0264,25
8,960,-72.1942,21
9,1050,-57.6837,56
10,1170,-271.6209,75
11,1340,-38.4340,29
12,1430,-401.5219,143
13,1480,-79.0555,31
14,1520,-288.6097,152
15,1680,-502.0125,168
16,1740,-171.8638,78
17,1890,-122.9424,41
18,1940,-104.1941,42
19,2170,-145.7004,74
20,2180,-103.9428,29
21,2290,-260.7340,138
22,2710,-196.7197,97
23,2920,-307.0645,158
24,2930,-102.5202,76
25,3070,-28.5392,36
26,3480,-121.8808,41
27,3520,-188.8040,59
28,3880,-492.7165,293
29,4050,-284.8868,187
30,4150,-206.2084,63
31,4200,-158.6470,32
32,4340,-242.4211,86
33,4470,-53.0331,32
34,4480,-11.4632,14
35,4860,-430.0407,194
36,4870,-98.8286,67
37,4990,-105.7153,52
38,5190,-13.3468,33
39,5530,-138.0003,66
40,5540,-206.4856,106
41,5660,-52.1958,12
42,5780,-96.4892,12
43,5820,-100.9404,63
44,5880,-856.0996,359
45,7750,-434.8080,193
46,7770,-382.4940,189
47,7990,-412.2564,221
48,8490,-250.9706,72
49,8750,-76.0394,26
50,8790,-282.3251,104
51,8980,-830.2072,399
52,9940,-1063.7101,441
53,10000,-2083.2130,1000
54,10000,-2059.5397,1000
55,10110,-167.9429,113
56,10370,-71.5481,37
57,10580,-105.4245,47
58,10650,-221.2481,71
59,10730,-130.0869,73
60,10940,-471.4310,215
61,11190,-184.9530,61
62,11680,-2060.1551,1000
63,11940,-2062.0531,1000
64,12110,-360.3498,146
65,12480,-124.3617,54
66,13560,-244.1159,145
67,13660,-393.4845,198
68,13820,-71.1019,16
69,14050,-1886.0232,1000
70,14090,-56.0310,27
71,14660,-133.8545,61
72,14690,-58.3457,60
73,15120,-74.0705,46
74,17340,-443.1375,265
75,17640,-922.9536,516
76,17990,-1966.2751,1000
77,18750,-2016.4933,1000
78,19500,-131.9002,75
79,20370,-1858.6813,1000
80,20730,-1710.7819,1000
81,20940,-1750.2452,1000
82,21190,-1826.3311,1000
83,21470,-49.7228,28
84,21600,-134.1443,87
85,22100,-67.3985,63
86,22260,-661.1278,462
87,23560,-1336.1456,1000
88,24650,-495.5739,371
89,25120,-1638.5887,1000
90,25880,-90.5855,76
91,26340,-49.8068,46
92,26770,-210.1378,212
93,26990,-375.0236,343
94,27340,-1511.8755,1000
95,27610,-117.5465,127
96,27990,-1443.2271,1000
97,28260,-169.8403,149
98,28660,-47.0127,40
99,29500,-1578.7270,1000
100,30130,-252.3476,252
101,30240,-271.6690,225
102,30370,-1507.8335,1000
103,31000,-125.3938,87
104,31390,-173.8012,189
105,31600,-1362.5980,1000
106,32100,-1426.1328,1000
107,32260,-1094.2450,1000
108,32460,-39.6858,36
109,32640,-123.7194,125
110,34070,-130.7497,161
111,34520,-415.5970,586
112,35270,-80.1560,120
113,36010,-462.5839,375
114,36240,-273.6973,360
115,36990,-1171.8005,1000
116,37340,-1204.7333,1000
117,39330,-126.8843,199
118,39700,-77.5456,37
119,40240,-619.1894,1000
120,40370,-757.9750,1000
121,41000,-816.2985,1000
122,41600,-1026.8228,1000
123,41860,-349.6733,659
124,42330,-177.5115,209
125,44280,-410.7221,827
126,44430,-267.5178,473
127,44510,-261.2010,414
128,44520,-455.7585,1000
129,46080,-250.3433,508
130,46240,-1244.0491,1000
131,46990,-925.4125,1000
132,47460,-146.4173,318
133,48630,-123.0804,164
134,51600,-421.9959,1000
135,51860,-1029.7956,1000
136,52330,-996.9707,1000
137,54430,-782.1695,1000
138,54510,-147.4126,1000
139,54520,-735.1372,1000
140,54770,-31.2320,317
141,56080,-743.2896,1000
142,56240,-813.2834,1000
143,57040,-119.8422,253
144,57460,-384.7649,1000
145,57820,-71.4051,305
146,58630,-98.6919,1000
147,59410,-14.9931,237
148,61860,-729.9146,1000
149,62330,-25.3438,1000
150,62550,-74.4756,473
151,63060,-54.0521,120
152,64430,-206.4615,1000
153,64520,58.8402,1000
154,65160,-14.2468,64
155,66080,-24.0172,1000
156,66240,-87.8810,1000
157,67460,-830.9418,1000
158,68630,-605.8503,1000
159,69410,-520.6065,1000
160,72330,-80.4178,1000
161,72550,-40.7619,1000
162,73060,71.3030,1000
163,74430,99.1995,1000
164,75160,124.3066,1000
165,76080,290.3611,1000
166,76240,150.3883,1000
167,77460,246.0494,1000
168,78630,-962.4863,1000
169,79410,400.0238,1000
170,82330,492.4413,1000
171,82550,337.7571,1000
172,83060,393.7980,1000
173,84430,317.2789,1000
174,85160,531.7825,1000
175,86080,466.3012,1000
176,86240,356.5489,1000
177,87460,438.0214,1000
178,88630,474.5981,1000
179,89410,-596.0846,1000
180,92330,543.3608,1000
181,92550,676.4305,1000
182,93060,583.7742,1000
183,94430,675.5439,1000
184,95160,688.3616,1000
185,96080,575.0478,1000
186,96240,628.7276,1000
187,97460,590.0013,1000
188,98630,590.8044,1000
189,99410,608.6061,1000
190,102330,703.6614,1000
191,102550,685.4788,1000
192,103060,603.5431,1000
193,104430,753.6058,1000
194,105160,675.1875,1000
