episode,timestep,episode_reward,episode_length
1,220,6.1582,22
2,440,4.1605,22
3,540,14.6146,54
4,600,81.7061,60
5,690,32.8349,25
6,750,-0.1362,21
7,830,79.1895,83
8,840,-24.3458,24
9,880,-31.9579,88
10,890,117.1366,89
11,910,-21.6474,91
12,930,115.7501,93
13,1030,3.1948,12
14,1170,82.5798,28
15,1290,18.8087,36
16,1390,11.3649,10
17,1550,14.4482,86
18,1560,2.5706,39
19,1570,-25.9350,82
20,1780,1.6776,22
21,1960,33.1852,57
22,2080,71.1600,51
23,2080,112.5697,208
24,2100,-5.8668,55
25,2220,13.2491,14
26,2260,121.5461,138
27,2410,-5.5680,33
28,2510,18.8348,41
29,2560,56.6030,78
30,2630,-31.8709,37
31,2650,136.8533,162
32,2690,70.1911,47
33,2770,26.9837,26
34,2860,35.1102,45
35,3000,48.9646,37
36,3170,-7.4847,31
37,3180,63.3146,62
38,3440,19.2038,79
39,3610,211.0549,277
40,3680,179.9007,172
41,4010,-22.6287,318
42,4020,43.2061,125
43,4260,0.4205,65
44,4420,58.9007,40
45,4440,-16.3697,144
46,4570,-1.5280,13
47,4700,-0.2437,44
48,4810,-11.7635,80
49,5190,26.2322,38
50,5220,29.3782,65
51,5620,53.4434,92
52,6000,185.9064,283
53,6420,43.4718,274
54,6500,8.9355,131
55,6570,96.0046,339
56,6720,-17.0894,30
57,6780,20.2264,156
58,6910,-4.6099,13
59,6970,64.7679,25
60,7840,-42.0850,87
61,8090,-5.0623,159
62,8210,60.9774,37
63,9640,46.0451,402
64,9990,23.4754,35
65,10000,-4734.7488,1000
66,10480,16.6166,48
67,10640,96.9261,243
68,11020,-9.4161,38
69,11030,41.6692,55
70,11110,60.7693,302
71,11730,-12.8178,70
72,11900,6.0926,17
73,12020,39.3670,602
74,12670,97.6442,65
75,12690,-4159.2545,1000
76,12750,216.4361,173
77,12860,67.2690,96
78,12890,14.4827,14
79,12990,34.2908,30
80,13130,65.1274,27
81,13210,20.8956,22
82,13440,-4776.6254,1000
83,13450,9.5188,24
84,13610,-11.0125,72
85,13810,13.3876,20
86,13880,52.0914,75
87,14030,4.5525,15
88,14260,-20.1582,23
89,14420,-3102.6519,1000
90,14620,20.6966,20
91,14690,57.1079,43
92,14900,291.7768,223
93,15190,50.5800,50
94,15470,229.6792,166
95,15490,69.7940,87
96,15540,6.6448,64
97,15810,199.9420,237
98,15830,12.2002,34
99,15960,22.9918,15
100,16230,80.0282,76
101,16440,67.9730,61
102,16460,-16.6863,23
103,16570,-3704.4464,1000
104,16590,8.3910,13
105,16640,-3.3894,20
106,16680,8.9656,11
107,16760,39.0894,17
108,16910,-2734.7755,1000
109,16980,21.3505,22
110,17100,16.0746,12
111,17270,121.5803,208
112,17440,6.8981,53
113,17770,14.4284,67
114,17890,-17.7535,62
115,18210,17.2447,32
116,18420,12.6446,21
117,18880,-5.2563,111
118,18980,70.3566,56
119,19320,-25.3644,34
120,19990,-2559.2089,1000
121,20180,114.6666,130
122,20410,182.4622,109
123,20590,79.0095,41
124,21040,-8.3618,105
125,21110,-4100.8854,1000
126,21310,9.7065,72
127,21480,154.5611,107
128,21600,28.9470,12
129,21980,-6.4206,38
130,22370,15.7605,126
131,22590,65.0110,128
132,22620,-22.8701,64
133,22720,20.5012,35
134,22800,-19.8290,21
135,23050,40.7353,201
136,23080,35.1405,28
137,23230,22.7712,51
138,23390,24.0835,31
139,23450,-4198.8675,1000
140,23620,31.9877,57
141,23810,-98.3646,119
142,23910,64.8400,52
143,24120,38.0834,89
144,24370,112.2815,92
145,24740,-28.8892,83
146,24980,-27.8544,61
147,25200,90.1700,108
148,25240,66.8262,162
149,25510,19.7330,53
150,25540,-4149.9829,1000
151,25590,78.2267,39
152,25720,-22.9611,98
153,25960,-4628.4522,1000
154,26000,5.5289,41
155,26070,-45.8591,35
156,26120,56.5231,58
157,26400,-23.2918,40
158,26400,-1.1749,28
159,26530,-31.3033,46
160,26640,-4787.1655,1000
161,26680,-3933.8785,1000
162,26970,8.1581,29
163,26970,23.8623,33
164,27030,71.6347,63
165,27210,51.7858,170
166,27230,84.1484,127
167,27410,12.0807,20
168,27440,-4815.3498,1000
169,27520,-119.7821,99
170,27590,77.7955,62
171,27620,5.7867,21
172,27630,32.0000,66
173,27730,33.0920,70
174,27760,2.9723,32
175,27920,-6.2533,152
176,27970,14.2292,24
177,28190,20.6936,96
178,28360,-130.9779,84
179,28670,-19.1231,31
180,28760,-80.7170,79
181,28790,-16.2697,60
182,28790,23.2594,116
183,28950,75.4869,133
184,29200,13.1069,41
185,29330,131.3439,141
186,29670,27.5326,100
187,29680,50.3123,92
188,29820,10.4656,14
189,29910,-11.8199,112
190,30090,119.1905,233
191,30190,14.7497,37
192,30280,-15.5180,108
193,30480,12.0627,20
194,30540,9.7483,45
195,30930,64.4376,74
196,31460,64.7991,213
197,31510,18.6553,160
198,31590,12.3702,111
199,31810,12.7912,22
200,31830,-60.5173,90
201,32200,125.7114,74
202,32200,119.5002,253
203,32570,-21.9513,37
204,32610,-16.1301,78
205,33170,-88.8729,166
206,33210,-36.6637,140
207,33450,-20.0551,84
208,33450,5.2388,24
