episode,timestep,episode_reward,episode_length
1,290,46.4060,29
2,520,54.7669,52
3,580,24.8134,58
4,750,10.9755,75
5,760,47.7284,76
6,780,57.3448,78
7,1010,-31.9399,25
8,1210,15.7306,121
9,1290,15.2544,129
10,1300,74.8533,55
11,1460,11.5290,88
12,1680,36.8356,116
13,2070,57.9764,77
14,2070,-58.9293,129
15,2240,-22.2562,95
16,2300,78.6809,62
17,2540,51.2821,24
18,2640,100.7917,163
19,2790,26.8405,158
20,3100,25.9218,103
21,3390,2.0807,29
22,3540,7.5394,15
23,3660,147.1117,102
24,3750,174.4876,346
25,3920,24.8581,17
26,3950,32.8766,188
27,4180,31.4603,164
28,4200,9.3221,54
29,4220,36.0790,198
30,4310,33.5821,152
31,4500,65.3258,55
32,4590,-36.0257,39
33,4700,14.6476,52
34,4840,-11.2548,34
35,4840,5.9175,25
36,5050,33.1209,35
37,5070,-7.0481,23
38,5230,158.4396,101
39,5400,-34.6032,56
40,5450,30.9773,191
41,5560,-8.2955,33
42,5790,62.4226,34
43,5910,5.7707,35
44,6360,-34.4643,131
45,6620,-67.9033,71
46,6670,-70.6684,275
47,7160,165.7322,285
48,7620,-36.7242,46
49,7700,146.7317,230
50,7930,-74.6953,214
51,8000,-7.7598,30
52,9000,89.0827,138
53,9410,-11.0565,279
54,9790,179.4580,186
55,10000,-4486.0534,1000
56,10000,-4412.4217,1000
57,10160,-16.1794,16
58,10450,140.3995,66
59,10580,12.8533,13
60,10810,58.7214,281
61,11090,9.1393,51
62,11460,-4427.4759,1000
63,11490,122.3643,208
64,11540,221.2133,487
65,11580,-28.5897,142
66,11980,-23.5116,117
67,11990,249.8126,299
68,12320,87.0504,78
69,12350,33.0256,89
70,12530,18.6112,18
71,12530,-92.1062,144
72,12580,68.7547,60
73,13060,61.4540,157
74,13510,68.7273,93
75,13640,48.2541,58
76,13850,118.4786,227
77,13890,17.9225,190
78,13960,-11.3237,45
79,14350,97.0398,203
80,14470,94.9850,83
81,14590,38.2215,70
82,14660,122.6033,213
83,14970,-47.7617,101
84,15070,-4251.8771,1000
85,15140,30.3959,17
86,15270,23.4009,61
87,15410,7.3837,14
88,15940,198.9116,159
89,16260,103.5865,112
90,16290,19.4776,88
91,16360,-4062.3119,1000
92,16540,51.5133,28
93,16830,107.9119,176
94,17050,-51.3010,111
95,17210,78.3525,38
96,17240,-19.7824,88
97,17580,114.8957,129
98,17710,-18.8846,13
99,17890,49.3166,342
100,17900,-48.5430,19
101,18200,-9.8004,30
102,18420,76.7668,137
103,18670,40.5514,25
104,18910,-26.7040,24
105,19210,81.0081,132
