episode,timestep,episode_reward,episode_length
1,290,-99.6110,29
2,370,-148.3998,37
3,440,-37.1514,15
4,440,-220.6846,44
5,450,-164.6876,45
6,570,-180.5032,57
7,630,-108.8884,63
8,1020,-225.9869,45
9,1030,-273.2408,66
10,1050,-122.7299,60
11,1080,-261.3347,64
12,1200,-49.9818,17
13,1310,-536.0909,131
14,1310,-76.4752,29
15,1330,-7.2405,13
16,1470,-461.6559,103
17,1510,-627.0095,151
18,1520,-605.5986,152
19,1660,-19.5619,35
20,1680,-245.3397,63
21,1730,-95.4468,42
22,1810,-135.4730,13
23,1870,-180.1537,79
24,1900,-54.5760,17
25,1940,-35.1837,28
26,2000,-82.6947,13
27,2290,-303.7282,166
28,2310,-113.1845,80
29,2360,-206.8513,89
30,2360,-197.1965,55
31,2430,-421.2740,110
32,2580,-51.6223,29
33,2690,-172.5337,79
34,2800,-85.9419,49
35,2910,-484.6759,97
36,2920,-137.1717,56
37,3270,-261.9596,69
38,3310,-143.5807,40
39,3350,-468.3399,99
40,3460,-214.2730,54
41,3530,-62.8424,26
42,3670,-177.7332,98
43,3800,-162.7584,45
44,3850,-34.0154,32
45,3910,-37.3176,11
46,3940,-516.4871,194
47,4050,-158.8187,59
48,4060,-213.1467,39
49,4130,-79.2236,19
50,4180,-54.9429,27
51,4240,-94.2678,39
52,4330,-52.0397,15
53,4460,-35.5229,33
54,4490,-280.2833,43
55,4500,-61.5045,26
56,4860,-498.0713,36
57,4900,-131.9177,44
58,5010,-183.0611,68
59,5130,-830.7904,270
60,5220,-18.3105,32
61,5290,-1.6850,28
62,5500,-105.4698,37
63,5590,-634.6644,154
64,5880,-75.5747,38
65,7120,-800.2895,190
66,7170,-340.1337,129
67,7400,-73.3564,23
68,7460,-601.8634,217
69,8310,-244.9239,91
70,9050,-528.8654,159
71,9250,-24.4867,20
72,9260,-345.7286,95
73,10000,-4783.3706,1000
74,10080,-344.7866,82
75,10510,-64.2043,43
76,10750,-202.6081,75
77,11140,-258.4108,63
78,11160,-101.2498,41
79,11500,-54.1644,36
80,11520,-5176.2769,1000
81,11530,-649.7416,228
82,11630,-81.2385,10
83,11990,-205.7985,47
84,12320,-202.1427,116
85,12560,-354.6417,106
86,12800,-4824.7210,1000
87,12890,-20.9014,33
88,13000,-254.5879,101
89,13020,-52.8125,13
90,13150,-201.7716,83
91,13220,-333.5388,159
92,13310,-4948.7425,1000
93,13360,-64.2705,56
94,13510,-95.6192,51
95,13760,-33.1920,40
96,13840,-185.1247,69
97,13870,-62.2587,85
98,13970,19.6226,46
99,14370,-80.3742,50
100,14490,-4973.5219,1000
101,14600,-103.8316,84
102,14650,-121.8449,68
103,14700,-39.6607,21
104,14730,-102.7635,89
105,14810,-10.7510,16
106,14860,-4945.8969,1000
