#{"t_start": 1778245835.3498886, "env_id": "Ant-v5"}
r,l,t
-174.429787,127,0.536403
-20.417998,25,0.602242
-95.333716,68,0.708281
-11.404323,23,0.724074
-162.53251,111,0.791533
-13.314031,18,0.801473
-108.269631,47,0.831389
-10.552506,22,0.847689
-27.557035,30,0.909854
-17.958488,19,0.925308
-78.430518,88,1.008527
-22.419774,27,1.035302
-18.355167,14,1.065038
-78.700979,52,1.141381
-43.150283,27,1.161196
-75.784092,62,1.246592
-23.270265,20,1.297593
-28.253444,26,1.358101
-40.57194,55,1.456336
-68.986803,46,1.494418
-15.239203,8,1.502134
-20.744726,12,1.51009
-43.378227,53,1.547554
-105.806409,84,1.610132
-10.039585,12,1.619527
-41.214322,29,1.638023
-26.051554,65,1.740463
-11.420846,19,1.763327
-93.795749,57,1.909315
-15.467266,34,1.99407
-34.567613,38,2.021538
-23.659755,29,2.051107
-1058.95951,1000,3.367724
-20.774553,22,3.387038
-54.806253,37,3.410289
-17.387795,10,3.418312
-5.180506,9,3.424481
-97.34916,67,3.474497
-1079.087232,1000,4.226903
-59.458636,62,4.267877
-1.720887,41,4.294634
-179.53765,130,4.437504
-1025.933775,1000,5.711024
-166.733851,132,5.853399
-35.159942,22,5.894967
-11.676278,12,5.903937
-6.35824,40,5.930702
-15.24773,20,5.943798
-80.370902,76,6.033147
-86.371993,48,6.124711
-66.667066,45,6.152449
-18.654279,24,6.169113
-22.113896,20,6.18014
-114.175794,81,6.228714
-78.567494,64,6.268719
-1048.210674,1000,7.594826
-37.322897,59,7.64191
-9.532915,29,7.662097
-5.244412,17,7.674905
-15.684752,18,7.704047
-28.523558,31,7.726176
-125.801738,131,8.015115
-27.675544,18,8.065245
-248.455796,142,8.263815
-1036.856271,1000,8.93591
-7.650424,12,8.943108
-13.985911,9,8.949486
-32.203718,21,8.965195
-977.425125,1000,10.57851
-46.471311,88,10.736972
-76.677906,62,10.777594
-109.955039,80,10.831511
-19.075924,28,10.853885
-13.865972,13,10.861561
-50.176109,46,10.890878
-14.008217,13,10.898632
-973.17674,1000,11.560096
-49.484501,50,11.589259
-16.859541,15,11.598154
-990.606201,1000,13.044954
-77.667377,82,13.095073
-12.110445,27,13.109947
-69.673612,50,13.14454
-15.131851,15,13.15469
-47.420781,60,13.19082
-104.679573,72,13.232342
-61.62027,41,13.257353
-291.2314,336,13.462519
-18.408364,17,13.472337
-16.167051,13,13.480068
-101.534057,90,13.536681
-42.669711,77,13.580332
-32.608834,23,13.595177
-7.810989,10,13.600749
-76.720187,88,13.65687
-943.127511,1000,15.005805
-25.389055,23,15.022316
-74.281139,68,15.175582
-19.364762,16,15.215922
-39.264525,70,15.325713
-25.581967,50,15.362517
-41.234699,44,15.388562
-108.466746,107,15.620221
-28.396844,29,15.6714
-42.4498,31,15.692538
-155.149913,205,15.843382
-13.340046,43,15.873181
-38.241478,24,15.88814
-34.94105,26,15.902754
-113.03393,140,15.987998
-62.197492,41,16.019485
-62.659287,66,16.126894
-928.623489,1000,17.428309
-27.668457,28,17.446138
-186.137513,218,17.626164
-9.808677,8,17.631124
-15.008122,30,17.65759
-107.955127,109,17.721871
-88.591312,92,17.776291
-128.93254,87,17.842657
-57.875075,60,17.989104
-45.155112,47,18.03596
-57.432344,35,18.058975
-155.428676,114,18.267867
-22.415534,13,18.301427
-20.672981,25,18.319215
-129.64323,95,18.377465
-37.511898,33,18.398861
-16.834573,68,18.43869
-60.125567,27,18.460796
-39.937417,25,18.474792
-120.097138,84,18.529276
-965.989115,1000,19.780478
-11.975916,16,19.792869
-127.064521,160,19.912208
-22.614666,41,19.937172
-16.447365,16,19.946058
-19.956108,18,19.959118
-17.609579,11,19.965886
-49.67167,66,20.003257
-81.379026,75,20.049472
-27.526085,37,20.071188
-24.171029,55,20.103984
-23.493674,19,20.125382
-52.47734,33,20.211843
-18.775521,37,20.247324
-0.728583,10,20.254631
-30.363542,18,20.276378
9.864053,44,20.305805
-152.703295,154,20.40817
-30.91996,26,20.424572
-10.943389,11,20.430697
-34.017125,23,20.487596
-189.749377,220,21.300613
-39.690586,35,21.330985
-53.605064,79,21.401917
-97.684834,59,21.444044
-60.444233,52,21.531019
-17.831029,26,21.548934
-35.216558,30,21.568524
-75.353717,50,21.605326
-46.303399,26,21.624053
-43.002545,44,21.65378
-82.879856,42,21.692157
3.495196,23,21.707308
-9.140351,13,21.716652
-9.6334,12,21.725427
-34.714763,18,21.745489
-152.889467,103,21.816766
-62.747067,49,21.854875
-19.913959,14,21.863602
-23.993299,10,21.870885
-53.182017,58,21.970473
-64.719799,57,22.008251
-48.009253,80,22.057734
-100.95276,100,22.119948
-91.639833,56,22.209817
-80.059255,65,22.267574
-28.2194,17,22.277177
-19.684248,21,22.290587
-41.013997,65,22.328189
-46.562336,39,22.395188
-4.140683,10,22.422454
-118.064485,106,22.66634
-12.099196,18,22.676293
-48.3083,51,22.706515
-106.952505,87,22.757872
-55.943919,78,22.802492
4.629272,26,22.819505
-16.264085,16,22.828941
-19.217274,15,22.844396
-50.969568,54,22.991287
1.359381,43,23.097737
-64.015027,101,23.218189
-45.923812,44,23.250741
-30.903458,22,23.263859
-855.931459,1000,24.750024
-18.085955,14,24.758583
-808.309153,1000,25.536386
-8.809274,19,25.547168
-38.954663,23,25.562849
-35.597145,32,25.582404
-3.505425,35,25.602089
-43.555462,52,26.260465
-82.880251,67,26.30417
-18.631593,15,26.315603
-41.064478,39,26.345063
-26.997963,47,26.377762
-28.832402,21,26.393885
1.486216,21,26.408236
